"","exptID","shellID","taxon","source","pocket","dateM1","dateM2","mass1","mass2","shape","xDim","yDim","zDim","thick","polymorph","waxYN","cMass","pMass","cSize","finalSA","volume","densityMV","cTime1","cTime2","cDuration","rootMass","deviation","deviationStan","poros","massSA","cTotal","percentTotal","SATotal","percentSATotal","perMassSA"
"13","T1.1","1.1.3.4","Halimeda","E18",6,"9/4/2023 14:32","9/6/2023 14:32",71.15,61.99,"rhombus",10.5,7.2,1.06,1.06,"Aragonite","No Wax",9.16,0.128742094167252,4.31130969039191,141.52992,55.35797,1.285271118,NA,NA,NA,4.14373176709777,4.10956343653603,0.953205344003588,0.54584059429593,0.064721297093929,495.49,1.84867504894145,10803.002698345,1.31009797879327,1.41109678731378
"14","T1.1","1.1.3.5","Halimeda","E18",9,"9/4/2023 14:32","9/6/2023 14:32",62.64,53.8,"rhombus",10.11,7.63,1.23,1.23,"Aragonite","No Wax",8.84,0.141123882503193,4.56100205932903,159.18847,70.22316,0.892013404,NA,NA,NA,3.97146356881574,3.98299931355699,0.873272860162428,0.684800917270391,0.0555316600505049,495.49,1.78409251448062,10803.002698345,1.47355762508869,1.21073820535063
"15","T1.1","1.1.4.1","Pinguitellina","E17",7,"9/4/2023 14:32","9/6/2023 14:32",54.11,49.51,"2dome",9.32,7.39,1.65,0.33,"Aragonite","No Wax",4.6,0.0850120125669932,4.8437467857072,125.2942548,46.97973782,1.151773137,NA,NA,NA,3.78232791480735,3.4054177380976,0.70305445118358,0.593013025827989,0.0367135748350371,495.49,0.928373932874529,10803.002698345,1.1598095298004,0.800453789196142
"16","T1.1","1.1.4.2","Pinguitellina","E17",4,"9/4/2023 14:32","9/6/2023 14:32",48.27,40.56,"2dome",9.8,7.52,1.75,0.34,"Aragonite","No Wax",7.71,0.159726538222498,5.05235651219417,135.0036611,53.45177736,0.903056968,NA,NA,NA,3.64104265103609,3.50588116260194,0.693910090101576,0.680898597859581,0.0571095623420838,495.49,1.55603543966579,10803.002698345,1.24968645171849,1.24514068110927
"17","T1.1","1.1.4.3","Pinguitellina","E17",8,"9/4/2023 14:32","9/6/2023 14:32",93.63,84.22,"2dome",11.68,9.43,2.15,0.43,"Aragonite","No Wax",9.41,0.100501975862437,6.18677514074405,202.0553014,98.19728255,0.953488707,NA,NA,NA,4.5408623925343,4.25774161975199,0.6882004797155,0.663078195296655,0.0465714085935881,495.49,1.89913015398898,10803.002698345,1.87036240795306,1.01538084058661
"18","T1.1","1.1.4.4","Pinguitellina","E17",5,"9/4/2023 14:32","9/6/2023 14:32",129.66,117.99,"2dome",13,9.21,2.73,0.54,"Aragonite","No Wax",11.67,0.0900046274872744,6.88845580678189,234.899396,139.0121197,0.932724429,NA,NA,NA,5.06137682749513,4.19718139773937,0.609306572542299,0.670415396040025,0.0496808429426528,495.49,2.35524430361864,10803.002698345,2.17438986695788,1.08317479740365
"19","T1.1","1.1.4.5","Pinguitellina","E17",5,"9/4/2023 14:32","9/6/2023 14:32",187.79,174.14,"2dome",14.81,11.94,3.46,0.51,"Aragonite","No Wax",13.65,0.072687576548272,8.4894292770773,352.9858948,261.9560585,0.716875957,NA,NA,NA,5.72652051169778,4.93352357430757,0.581137248840602,0.746686941163592,0.0386701004235142,495.49,2.75484873559507,10803.002698345,3.26747946526086,0.843111262024452
"20","T1.1","1.1.5.1","Alaona","E17",2,"9/4/2023 14:32","9/6/2023 14:32",189.53,169.21,"2dome",21.65,11.33,3.13,0.34,"Aragonite","No Wax",20.32,0.107212578483617,9.15680676389372,446.8634377,317.5590633,0.596833855,NA,NA,NA,5.74415284623654,6.89773107870209,0.753290012179857,0.789104644809036,0.045472505212301,495.49,4.10099093826313,10803.002698345,4.13647436900538,0.991421817814678
"21","T1.1","1.1.5.2","Alaona","E17",11,"9/4/2023 14:32","9/6/2023 14:32",48.29,36.15,"2dome",15.22,9.4,2.18,0.2,"Aragonite","No Wax",12.14,0.251397804928557,6.78161295642718,254.5908987,127.9028302,0.37755224,NA,NA,NA,3.64154545331425,5.21946234785761,0.769649105809103,0.866589314610157,0.0476843440279666,495.49,2.45009990110799,10803.002698345,2.35666791732823,1.03964579951752
"22","T1.1","1.1.5.3","Alaona","E17",1,"9/4/2023 14:32","9/6/2023 14:32",68.65,60.28,"2dome",15.7,9.82,2.59,0.21,"Aragonite","No Wax",8.37,0.121922796795339,7.36382797975368,284.3241882,165.9059236,0.413788721,NA,NA,NA,4.09461915581875,5.18872400674877,0.704623196116857,0.853784904097087,0.0294382270217276,495.49,1.68923691699126,10803.002698345,2.63189963141968,0.641831814870565
