"","shellID","exptID","taxon","source","pocket","dateM1","dateM2","mass1","mass2","waxMass1","waxMass2","shape","xDim","yDim","zDim","thick","waxYN","polymorph","notes","exclude","taxon.split","cMass","pMass","cSize","cMassWax","waxMassDiff","pMassWax","wax","finalSA","volume","densityMV"
"95","2.3.1.5","T2.3","Abranda","E22",4,"11/14/2023 16:00","11/16/2023 16:00",194.83,168.12,NA,NA,"2dome",22.21,14.41,2.84,0.17,"No Wax","Aragonite","",0,"Abranda 1",26.71,0.137093876713032,9.68672475994035,NA,NA,NA,NA,553.40489769862,368.930051910255,0.528094686218172
"96","2.3.2.1","T2.3","Abranda","E22",5,"11/14/2023 16:00","11/16/2023 16:00",144.52,134.74,273.94,263.08,"2dome",19.54,12.33,2.49,0.22,"Wax","Aragonite","",0,"Abranda 2",10.86,0.0751453086078052,8.4339106233919,10.86,1.08000000000001,0.0751453086078052,129.42,208.702754402175,243.668032683145,0.593102010175982
"97","2.3.2.2","T2.3","Abranda","E22",9,"11/14/2023 16:00","11/16/2023 16:00",181.75,171.4,371.47,359.79,"2dome",21.33,14.1,3.06,0.2,"Wax","Aragonite","",0,"Abranda 2",11.68,0.064264099037139,9.72696003563185,11.68,1.33000000000001,0.064264099037139,189.72,265.627470807426,376.405081024785,0.482857456400893
"98","2.3.2.3","T2.3","Abranda","E22",8,"11/14/2023 16:00","11/16/2023 16:00",139.93,129.14,245.31,234.08,"2dome",19.99,13.29,2.37,0.1,"Wax","Aragonite","",0,"Abranda 2",11.23,0.080254412920746,8.57094497616871,11.23,0.439999999999969,0.080254412920746,105.38,226.300464191075,254.225700763424,0.55041641966095
"99","2.3.2.4","T2.3","Abranda","E22",2,"11/14/2023 16:00","11/16/2023 16:00",58.56,55.62,137.5,133.83,"2dome",15.87,9.97,1.79,0.13,"Wax","Aragonite","",0,"Abranda 2",3.66999999999999,0.0626707650273222,6.56712130836038,3.66999999999999,0.729999999999983,0.0626707650273222,78.94,134.334737486949,114.223557094737,0.51267883341639
"100","2.3.2.5","T2.3","Abranda","E22",2,"11/14/2023 16:00","11/16/2023 16:00",108.69,98.09,252.02,238.94,"2dome",18.37,11.91,2.22,0.17,"Wax","Aragonite","",0,"Abranda 2",13.08,0.120342257797406,7.86064103312507,13.08,2.48000000000002,0.120342257797406,143.33,187.31769758974,196.465205651488,0.553227731290022
"101","2.3.3.1","T2.3","Pinguitellina","E22",8,"11/14/2023 16:00","11/16/2023 16:00",82.93,73.18,NA,NA,"2dome",12.22,9.79,2.38,0.32,"No Wax","Aragonite","",0,"Pinguitellina 1",9.75,0.117569034125166,6.57875356329691,NA,NA,NA,NA,223.510808454503,118.871376005014,0.697644822387703
"102","2.3.3.2","T2.3","Pinguitellina","E22",3,"11/14/2023 16:00","11/16/2023 16:00",118.7,105.57,NA,NA,"2dome",11.26,9.28,3.11,0.43,"No Wax","Aragonite","",0,"Pinguitellina 1",13.13,0.1106149957877,6.87515117155196,NA,NA,NA,NA,224.908503026085,143.366416860153,0.827948431715258
"103","2.3.3.3","T2.3","Pinguitellina","E22",1,"11/14/2023 16:00","11/16/2023 16:00",71.58,60.31,NA,NA,"2dome",10.74,8.67,2.12,0.29,"No Wax","Aragonite","",0,"Pinguitellina 1",11.27,0.157446214026264,5.82263741306401,NA,NA,NA,NA,174.505104651156,82.509873156025,0.867532542010375
"104","2.3.3.4","T2.3","Pinguitellina","E22",4,"11/14/2023 16:00","11/16/2023 16:00",81.4,70.17,NA,NA,"2dome",11.04,8.7,2.46,0.3,"No Wax","Aragonite","",0,"Pinguitellina 1",11.23,0.137960687960688,6.18217286210771,NA,NA,NA,NA,188.895169800924,100.580966503548,0.809298248263788
"105","2.3.3.5","T2.3","Pinguitellina","E22",8,"11/14/2023 16:00","11/16/2023 16:00",81.04,72.95,NA,NA,"2dome",10.06,8.22,2.52,0.34,"No Wax","Aragonite","",0,"Pinguitellina 1",8.09,0.099827245804541,5.92866320498837,NA,NA,NA,NA,169.794914785629,90.2124855255667,0.898323547210467
"106","2.3.4.1","T2.3","Pinguitellina","E22",2,"11/14/2023 16:00","11/16/2023 16:00",102.29,94.88,215.26,207.31,"2dome",11.59,9.49,2.81,0.42,"Wax","Aragonite","",0,"Pinguitellina 2",7.94999999999999,0.0777202072538859,6.76112018684332,7.94999999999999,0.539999999999978,0.0777202072538859,112.97,111.191566885749,132.988889273427,0.769161999614045
"107","2.3.4.2","T2.3","Pinguitellina","E22",2,"11/14/2023 16:00","11/16/2023 16:00",92.28,86.55,177.7,171.56,"2dome",10.76,8.95,2.82,0.37,"Wax","Aragonite","",0,"Pinguitellina 2",6.13999999999999,0.066536627654963,6.47582054070628,6.13999999999999,0.409999999999982,0.066536627654963,85.42,100.618615349909,118.388038310068,0.77947064008537
"108","2.3.4.3","T2.3","Pinguitellina","E22",2,"11/14/2023 16:00","11/16/2023 16:00",66.62,63.66,145.2,141.59,"2dome",10.63,8.93,2.58,0.32,"Wax","Aragonite","",0,"Pinguitellina 2",3.60999999999999,0.0541879315520862,6.25654841758678,3.60999999999999,0.649999999999977,0.0541879315520862,78.58,95.4663248582049,105.167499355239,0.633465665803922
"109","2.3.4.4","T2.3","Pinguitellina","E22",7,"11/14/2023 16:00","11/16/2023 16:00",145.74,131.97,225.25,210.99,"2dome",13.34,10.29,2.93,0.55,"Wax","Aragonite","",0,"Pinguitellina 2",14.26,0.0978454782489364,7.38152805808555,14.26,0.489999999999981,0.0978454782489364,79.51,134.780765103942,171.112868143481,0.851718526965458
"110","2.3.4.5","T2.3","Pinguitellina","E22",7,"11/14/2023 16:00","11/16/2023 16:00",90.58,82.97,175.88,167.58,"2dome",10.82,8.71,2.71,0.37,"Wax","Aragonite","",0,"Pinguitellina 2",8.29999999999998,0.0916317067785381,6.34460957386578,8.29999999999998,0.689999999999984,0.0916317067785381,85.3,97.0898214017638,110.714847217527,0.818137786181769
"111","2.3.5.1","T2.3","Ethalia","124.7",1,"11/14/2023 16:00","11/16/2023 16:00",959.49,909.72,NA,NA,"sphere",16.41,14.52,13.18,0.46,"No Wax","Aragonite","",0,"Ethalia 1",49.77,0.051871306631648,14.6441286617683,NA,NA,NA,NA,679.174667500855,1644.33094515257,0.583513922686028
"112","2.3.5.2","T2.3","Ethalia","124.7",1,"11/14/2023 16:00","11/16/2023 16:00",375.08,353.85,NA,NA,"sphere",12.62,11.11,9.03,0.29,"No Wax","Aragonite","",0,"Ethalia 1",21.23,0.0566012583982083,10.8181679970764,NA,NA,NA,NA,374.62361420703,662.917961895038,0.565801534367518
"113","2.3.5.3","T2.3","Ethalia","124.7",9,"11/14/2023 16:00","11/16/2023 16:00",323.83,312.55,NA,NA,"sphere",11.27,10.19,7.54,0.3,"No Wax","Aragonite","",0,"Ethalia 1",11.28,0.0348330914368649,9.53139530781965,NA,NA,NA,NA,293.564380185446,453.385961073601,0.714247964875627
"114","2.3.5.4","T2.3","Ethalia","124.7",1,"11/14/2023 16:00","11/16/2023 16:00",639.91,616.63,NA,NA,"sphere",14.56,12.84,9.97,0.46,"No Wax","Aragonite","",0,"Ethalia 1",23.28,0.036380115953806,12.3066689725444,NA,NA,NA,NA,487.476359294888,975.933395359994,0.655690237717458
"115","2.3.5.5","T2.3","Ethalia","124.7",1,"11/14/2023 16:00","11/16/2023 16:00",48.82,41.27,NA,NA,"sphere",6.9,5.95,4.84,0.14,"No Wax","Aragonite","",0,"Ethalia 1",7.55,0.15464973371569,5.8353978724047,NA,NA,NA,NA,109.235305867005,104.042323023791,0.46923212190136
"116","2.3.6.1","T2.3","Ethalia","124.7",7,"11/14/2023 16:00","11/16/2023 16:00",149.96,140.23,196.31,186.36,"sphere",9.38,8.18,6.48,0.19,"Wax","Aragonite","",0,"Ethalia 2",9.73000000000002,0.0648839690584157,7.92216194422969,9.94999999999999,0.21999999999997,0.0663510269405174,46.35,201.732694767873,260.333327982635,0.576030741672856
"117","2.3.6.2","T2.3","Ethalia","124.7",7,"11/14/2023 16:00","11/16/2023 16:00",925.06,897.79,1104.29,1076.81,"sphere",16.15,14.48,10.33,0.38,"Wax","Aragonite","",0,"Ethalia 2",27.27,0.0294791689187728,13.4177739190514,27.48,0.210000000000036,0.0297061812206776,179.23,585.635317036546,1264.85293359963,0.731357753479987
"118","2.3.6.3","T2.3","Ethalia","124.7",4,"11/14/2023 16:00","11/16/2023 16:00",251.82,234.95,327.33,310.93,"sphere",10.54,9.36,7.41,0.27,"Wax","Aragonite","",0,"Ethalia 2",16.87,0.0669922960845048,9.00834248682327,16.4,-0.470000000000027,0.0651258835676276,75.51,260.345912504674,382.765943781121,0.6578955209871
"119","2.3.6.4","T2.3","Ethalia","124.7",9,"11/14/2023 16:00","11/16/2023 16:00",412.97,396.68,515.65,502.28,"sphere",11.82,10.22,8.18,0.28,"Wax","Aragonite","",0,"Ethalia 2",16.29,0.0394459645979127,9.96033377375359,13.37,-2.92000000000002,0.0323752330677773,102.68,318.783829371404,517.392701729999,0.798175155194802
"120","2.3.6.5","T2.3","Ethalia","124.7",3,"11/14/2023 16:00","11/16/2023 16:00",170.35,160.27,217.14,206.03,"sphere",9.84,8.42,6.52,0.22,"Wax","Aragonite","",0,"Ethalia 2",10.08,0.0591722923393013,8.14425935206939,11.11,1.03,0.0652186674493689,46.79,214.343326932063,282.848192619488,0.602266531818253
"121","2.3.7.1","T2.3","Natica","124.7",3,"11/14/2023 16:00","11/16/2023 16:00",167.31,153.98,NA,NA,"sphere",8.89,5.34,6.29,0.34,"No Wax","Aragonite","",0,"Natica 1",13.33,0.079672464287849,6.68391966105494,NA,NA,NA,NA,146.981297253791,156.347984024802,1.07011293457713
"122","2.3.7.2","T2.3","Natica","124.7",4,"11/14/2023 16:00","11/16/2023 16:00",89.19,80.93,NA,NA,"sphere",6.75,4.38,5.21,0.31,"No Wax","Aragonite","",0,"Natica 1",8.25999999999999,0.0926112792914003,5.36049878869795,NA,NA,NA,NA,93.1990461667554,80.6518305409369,1.10586454643121
"123","2.3.7.3","T2.3","Natica","124.7",6,"11/14/2023 16:00","11/16/2023 16:00",86.1,78.09,NA,NA,"sphere",6.94,4.35,5.34,0.21,"No Wax","Aragonite","",0,"Natica 1",8.00999999999999,0.0930313588850173,5.4424777406046,NA,NA,NA,NA,96.5365694821741,84.4089711511078,1.02003375738184
"124","2.3.7.4","T2.3","Natica","124.7",6,"11/14/2023 16:00","11/16/2023 16:00",103.94,85.43,NA,NA,"sphere",7.36,4.55,5.59,0.25,"No Wax","Aragonite","",0,"Natica 1",18.51,0.178083509717144,5.72049582478794,NA,NA,NA,NA,106.901416684653,98.0166017065483,1.06043260213393
"125","2.3.7.5","T2.3","Natica","124.7",6,"11/14/2023 16:00","11/16/2023 16:00",52.76,45.63,NA,NA,"sphere",6.08,4.08,5.02,0.23,"No Wax","Aragonite","",0,"Natica 1",7.13,0.135140257771039,4.99370043977479,NA,NA,NA,NA,80.4360816654516,65.2027753483482,0.809168010381886
"126","2.3.8.1","T2.3","Natica","124.7",4,"11/14/2023 16:00","11/16/2023 16:00",230,217.73,344.34,332.83,"sphere",10.82,6.59,7.77,0.28,"Wax","Aragonite","",0,"Natica 2",12.27,0.0533478260869566,8.21317792846373,11.51,-0.760000000000019,0.0500434782608695,114.34,221.319058886434,290.089705057681,0.792858195206434
"127","2.3.8.2","T2.3","Natica","124.7",8,"11/14/2023 16:00","11/16/2023 16:00",190.83,183.68,250.67,243.55,"sphere",8.36,5.16,6.31,0.2,"Wax","Aragonite","",0,"Natica 2",7.15000000000001,0.0374679033694912,6.48079741748979,7.11999999999998,-0.0300000000000296,0.0373106953833253,59.84,137.262780379911,142.522673561592,1.33894485158904
"128","2.3.8.3","T2.3","Natica","124.7",7,"11/14/2023 16:00","11/16/2023 16:00",90.14,83.27,133.32,126.13,"sphere",7.2,4.94,5.47,0.21,"Wax","Aragonite","",0,"Natica 2",6.87,0.0762147770135345,5.79449497477769,7.19,0.319999999999993,0.0797648102950965,43.18,108.249543905478,101.869786040127,0.884855102812263
"129","2.3.8.4","T2.3","Natica","124.7",3,"11/14/2023 16:00","11/16/2023 16:00",56.2,51.4,75.13,70.12,"sphere",5.68,4.34,4.87,0.21,"Wax","Aragonite","",0,"Natica 2",4.8,0.0854092526690392,4.93312752164688,5.00999999999999,0.209999999999987,0.0891459074733094,18.93,77.3921227302184,62.8587367273302,0.894068238179609
"130","2.3.8.5","T2.3","Natica","124.7",5,"11/14/2023 16:00","11/16/2023 16:00",107.14,101.58,141.12,136.06,"sphere",6.65,4.54,5.09,0.19,"Wax","Aragonite","",0,"Natica 2",5.56,0.0518947171924585,5.35630246863864,5.06,-0.5,0.0472279260780288,33.98,92.5158544843548,80.4625705275091,1.33155079806169
"131","2.3.9.1","T2.3","Calcite",NA,6,"11/14/2023 16:00","11/16/2023 16:00",185.53,180.3,NA,NA,"cube",7.2,4.84,2.02,2.02,"No Wax","Calcite","",0,"Calcite",5.22999999999999,0.0281895111302754,4.12898281988857,NA,NA,NA,NA,118.3376,70.39296,2.63563288146997
"132","2.3.9.2","T2.3","Calcite",NA,6,"11/14/2023 16:00","11/16/2023 16:00",428.82,420.47,NA,NA,"cube",6.55,4.98,4.99,4.99,"No Wax","Calcite","",0,"Calcite",8.34999999999997,0.019472039550394,5.45997175581466,NA,NA,NA,NA,180.3074,162.76881,2.63453422065321
"133","2.3.9.3","T2.3","Calcite",NA,5,"11/14/2023 16:00","11/16/2023 16:00",367.58,360.36,NA,NA,"cube",9.04,4.78,3.16,3.16,"No Wax","Calcite","",0,"Calcite",7.21999999999997,0.019641982697644,5.14945345002655,NA,NA,NA,NA,173.7648,136.547392,2.69195914045726
"134","2.3.9.4","T2.3","Calcite",NA,5,"11/14/2023 16:00","11/16/2023 16:00",353.11,339.37,NA,NA,"cube",5.96,5.08,4.66,4.66,"No Wax","Calcite","",0,"Calcite",13.74,0.0389113873863669,5.20593366051753,NA,NA,NA,NA,163.4464,141.089888,2.50273074141217
"135","2.3.9.5","T2.3","Calcite",NA,9,"11/14/2023 16:00","11/16/2023 16:00",265.98,257.17,NA,NA,"cube",5.43,4.94,4.09,4.09,"No Wax","Calcite","",0,"Calcite",8.81,0.0331227911873073,4.78721973467665,NA,NA,NA,NA,138.475,109.710978,2.4243699659664
