"","shellID","exptID","taxon","source","pocket","dateM1","dateM2","mass1","mass2","shape","xDim","yDim","zDim","calcX1","calcX2","polymorph","mag","seal","notes","exclude","cMass","pMass","cTime1","cTime2","cDuration","cSize","finalSA","calcX","massSA","volume","densityMV","rootMass","deviation","deviationStan","poros"
"16","2.1.3.4",2.1,"Pecten",NA,NA,NA,NA,1432.07,1402.11,NA,21.72,19.95,1.42,25.09,24.121,"Calcite",0.01,"N","",0,29.96,0.0209207650464014,NA,NA,NA,8.50544463167815,1108.29707,24.6055,0.0270324634170512,697.0492095,2.05447474938999,11.2716652461777,11.5433517894406,1.35717205734876,0.242170878129847
"17","2.1.3.5",2.1,"Pecten",NA,NA,NA,NA,505.1,486.86,NA,20.84,11.1,0.99,23.926,23.737,"Calcite",0.01,"N","",0,18.24,0.0361116610572164,NA,NA,NA,6.11812899360593,598.22367,23.8315,0.0304902679628173,261.8843535,1.92871392753901,7.96389984236115,9.27445700213136,1.51589759088508,0.288559967709696
"18","2.1.3.6",2.1,"Pecten",NA,NA,NA,NA,982.2,941.16,NA,21.4,16.22,1.2,23.546,24.268,"Calcite",0.01,"N","",0,41.0400000000001,0.041783750763592,NA,NA,NA,7.46818881949181,871.84788,23.907,0.0470724319476467,465.325848,2.1107789395787,9.94031109903523,10.4862703935027,1.4041249688457,0.221402087945886
"25","2.1.4.1",2.1,"Saccostrea",NA,NA,NA,NA,660.56,640.83,NA,12,12.5,2.67,NA,NA,"Calcite",0,"N","",0,19.7299999999999,0.0298685963424971,NA,NA,NA,7.37113174523961,430.83,NA,0.0457953253023232,400.5,1.64933832709114,8.70904946429176,4.8196227515868,0.653851120582586,0.391612568391318
"31","2.1.4.7",2.1,"Saccostrea",NA,NA,NA,NA,494.88,485.61,NA,10.82,8.46,3.96,NA,NA,"Calcite",0,"Y","",0,9.26999999999998,0.0187318137730359,NA,NA,NA,7.13013254561294,183.0744,NA,0.0506351516104927,362.487312,1.36523399196935,7.90982061272107,2.72995581812902,0.382875886340812,0.496409445972205
"34","2.1.4.10",2.1,"Saccostrea",NA,NA,NA,NA,1213.59,1191.07,NA,13.63,12.68,3.22,NA,NA,"Calcite",0,"Y","",0,22.52,0.018556514143986,NA,NA,NA,8.22539937270503,345.6568,NA,0.0651513292954167,556.507448,2.18072553091868,10.6665505629724,4.95486687576499,0.602386176190679,0.195601058311073
"36","2.1.4.12",2.1,"Saccostrea",NA,NA,NA,NA,553.28,538.65,NA,11.21,12.93,2.2,NA,NA,"Calcite",0,"Y","",0,14.63,0.0264423076923077,NA,NA,NA,6.83191214280597,289.8906,NA,0.0504673142212959,318.87966,1.73507460463298,8.20946754978538,5.03602928573134,0.737133203774335,0.359987235472895
"37","2.1.5.1",2.1,"Anadara",NA,NA,NA,NA,373.69,361.78,NA,7.7,10.29,1.95,8.722,9.557,"Mixed",NA,"N","calcx is y, swapped",0,11.91,0.0318713372046349,NA,NA,NA,5.36595348640958,249.053505,9.1395,0.0478210495371267,154.50435,2.41863740406014,7.2028409570645,3.55801550453014,0.663072371674778,0.161999374935852
"38","2.1.5.2",2.1,"Anadara",NA,NA,NA,NA,384.82,373.49,NA,8.12,11.44,1.92,9.656,8.181,"Mixed",NA,"N","calcx is y, swapped",0,11.33,0.0294423366768879,NA,NA,NA,5.62895479315577,273.09708,8.9185,0.041487078514351,178.354176,2.15761698789716,7.27365243912242,4.00368173561474,0.711265569317204,0.252436772262088
"39","2.1.5.3",2.1,"Anadara",NA,NA,NA,NA,518.97,500.86,NA,12.11,9.22,2.15,14.084,12.987,"Mixed",NA,"N","calcx is x",0,18.11,0.0348960440873268,NA,NA,NA,6.21495289541954,334.30016,13.5355,0.0541728726662889,240.05653,2.16186579052859,8.03613858782487,4.32168236819349,0.695368483223517,0.250964662695382
