"","shellID","exptID","taxon","source","pocket","dateM1","dateM2","mass1","mass2","density","shape","xDim","yDim","zDim","thick","calcX","calcY","calcSA1","calcSA2","calcZ","perimeter","polymorph","note","exclude","cMass","pMass","cTime1","cTime2","cDuration","cSize","cSA1","cDim","calcSA","calcC","calcSAPerim","finalSA","volume","densityMV"
"75","1.2.4.5","T1.2","Pinguitellina","E17",6,"8/21/2023 15:03","8/23/2023 15:02",49.86,41.59,2.74,"2dome",10.4,7.55,2.77,0.3,10.481,7.751,60.736,55.802,NA,NA,"Aragonite","",0,8.27,0.165864420377056,NA,NA,NA,6.01386054880137,171.549180123394,NA,175.818967393574,NA,NA,171.549180123394,96.5407406445535,0.516465894782971
"76","1.2.5.1","T1.2","Alaona","E17",3,"8/21/2023 15:03","8/23/2023 15:02",45.79,35,2.868,"2dome",14.11,8.76,1.65,0.14,14.38,8.666,95.589,85.436,NA,NA,"Aragonite","",0,10.79,0.235640969644027,NA,NA,NA,5.88624527334046,211.262052857422,NA,212.854023518702,NA,NA,211.262052857422,82.4414545040176,0.555424455760524
"78","1.2.5.3","T1.2","Alaona","E17",11,"8/21/2023 15:03","8/23/2023 15:02",165.04,118.02,2.755,"2dome",31.07,13.91,2.45,0.16,30.977,14.094,341.87,329.646,NA,NA,"Aragonite","",0,47.02,0.284900630150267,NA,NA,NA,10.1924398194554,716.587388266973,NA,723.508533652724,NA,NA,716.587388266973,423.50955722593,0.389696046249922
"80","1.2.5.5","T1.2","Alaona","E17",2,"8/21/2023 15:03","8/23/2023 15:02",55.07,44.77,2.772,"2dome",14.38,8.93,1.72,0.17,14.386,8.794,99.414,93.636,NA,NA,"Aragonite","",0,10.3,0.187034683130561,NA,NA,NA,6.04476744487329,220.299472444004,NA,217.310378981005,NA,NA,220.299472444004,89.4001628659304,0.615994403529064
"81","1.2.6.1","T1.2","Calcite",NA,8,"8/21/2023 15:03","8/23/2023 15:02",671.9,660.5,2.665,"cube",12.05,7.52,2.74,2.74,12.051,7.882,97.749,98.863,NA,NA,"Calcite","",0,11.4,0.0169668105372823,NA,NA,NA,6.28519105050354,288.4756,NA,299.204804,NA,NA,288.4756,248.28784,2.70613333298965
"82","1.2.6.2","T1.2","Calcite",NA,9,"8/21/2023 15:03","8/23/2023 15:02",1156.59,1144.46,2.712,"cube",11.96,5.53,5.41,5.41,12.056,6.342,110.793,118.49,NA,NA,"Calcite","",0,12.1299999999999,0.010487726852212,NA,NA,NA,7.09933808548637,321.5194,NA,351.984664,NA,NA,321.5194,357.810908,3.23240564818108
"83","1.2.6.3","T1.2","Calcite",NA,5,"8/21/2023 15:03","8/23/2023 15:02",1144.43,1129.9,2.749,"cube",12.13,6.19,5.75,5.75,12.133,6.138,87.378,130.372,NA,NA,"Calcite","",0,14.53,0.012696276749124,NA,NA,NA,7.55799206329755,360.8494,NA,359.061208,NA,NA,360.8494,431.737025,2.65075713624515
"84","1.2.6.4","T1.2","Calcite",NA,11,"8/21/2023 15:03","8/23/2023 15:02",456.8,447.75,2.687,"cube",12.07,7.57,2.14,2.14,11.494,7.466,103.669,NA,NA,NA,"Calcite","",0,9.05000000000001,0.0198117338003503,NA,NA,NA,5.80415463324693,266.799,NA,252.777208,NA,NA,266.799,195.531586,2.3361954421011
"85","1.2.6.5","T1.2","Calcite",NA,9,"8/21/2023 15:03","8/23/2023 15:02",507.03,498.04,2.697,"cube",11.64,5.95,2.94,2.94,11.578,5.831,58.08,85.304,NA,NA,"Calcite","",0,8.98999999999995,0.0177307062698459,NA,NA,NA,5.88309361018667,241.9452,NA,237.387556,NA,NA,241.9452,203.61852,2.49009765909309
"86","1.2.7.1","T1.2","Aragonite",NA,5,"8/21/2023 15:03","8/23/2023 15:02",372.72,362.46,2.835,"cube",5.79,5.3,4.81,4.81,5.912,5.174,33.731,32.603,NA,NA,"Aragonite","",0,10.26,0.027527366387637,NA,NA,NA,5.28485614125265,168.0598,NA,167.824696,NA,NA,168.0598,147.60447,2.52512677969712
"87","1.2.7.2","T1.2","Aragonite",NA,3,"8/21/2023 15:03","8/23/2023 15:02",381.08,372.76,2.829,"cube",5.64,6.01,4.43,4.43,5.418,6.001,35.288,34.527,NA,NA,"Aragonite","",0,8.31999999999999,0.0218326860501732,NA,NA,NA,5.31519375783918,171.0118,NA,166.199176,NA,NA,171.0118,150.161052,2.53780853906111
"88","1.2.7.3","T1.2","Aragonite",NA,6,"8/21/2023 15:03","8/23/2023 15:02",281.77,274.75,2.851,"cube",5.85,5.32,4.08,4.08,5.714,5.333,29.883,31.975,NA,NA,"Aragonite","",0,7.01999999999998,0.0249139368988891,NA,NA,NA,5.02623226629096,153.3912,NA,151.089044,NA,NA,153.3912,126.97776,2.21905001316766
"89","1.2.7.4","T1.2","Aragonite",NA,3,"8/21/2023 15:03","8/23/2023 15:02",408.54,400.55,2.847,"cube",7.11,5.1,4.33,4.33,7.058,5.334,36.968,38.911,NA,NA,"Aragonite","",0,7.99000000000001,0.0195574484750575,NA,NA,NA,5.39480673555251,178.2606,NA,182.609464,NA,NA,178.2606,157.01013,2.6019977182364
"90","1.2.7.5","T1.2","Aragonite",NA,8,"8/21/2023 15:03","8/23/2023 15:02",362.74,354.76,2.82,"cube",6.1,4.97,4.96,4.96,6.197,4.81,29.976,30.742,NA,NA,"Aragonite","",0,7.98000000000002,0.0219992280972598,NA,NA,NA,5.31768531411211,170.4484,NA,168.80458,NA,NA,170.4484,150.37232,2.41227906838173
"91","1.2.8.1","T1.2","Liloa","E18",10,"8/21/2023 15:03","8/23/2023 15:02",42.99,31.51,2.441,"cylinder2",9.41,4.59,4.59,0.19,9.622,4.666,39.736,39.579,NA,NA,"Aragonite","",0,11.48,0.267038846243312,NA,NA,NA,5.83093676319093,168.785049827133,NA,101.481981559783,NA,NA,168.785049827133,155.705830705436,0.27609756041396
"92","1.2.8.2","T1.2","Liloa","E18",2,"8/21/2023 15:03","8/23/2023 15:02",40.11,31.86,2.538,"cylinder2",9.4,4.01,4.01,0.15,9.362,4.207,38.38,34.74,NA,NA,"Aragonite","",0,8.25,0.205684367988033,NA,NA,NA,5.32687124460708,143.677755498908,NA,80.8001749752431,NA,NA,143.677755498908,118.715241468125,0.337867315973658
"94","1.2.8.4","T1.2","Liloa","E18",1,"8/21/2023 15:03","8/23/2023 15:02",32.47,25.94,2.997,"cylinder2",10.06,4.32,4.32,0.2,10.239,4.36,42.534,45.21,NA,NA,"Aragonite","",0,6.53,0.201108715737604,NA,NA,NA,5.72605029197635,165.845932820067,NA,89.0327358027347,NA,NA,165.845932820067,147.453591726961,0.22020487680032
"95","1.2.8.5","T1.2","Liloa","E18",1,"8/21/2023 15:03","8/23/2023 15:02",46.1,37.46,2.791,"cylinder2",10.28,4.73,4.73,0.13,10.523,4.55,48.896,42.757,NA,NA,"Aragonite","",0,8.64,0.187418655097614,NA,NA,NA,6.12686717584908,187.901326964961,NA,100.131197249704,NA,NA,187.901326964961,180.636403378313,0.255208801425543
"96","1.2.9.1","T1.2","Ethalia","E18",2,"8/21/2023 15:03","8/23/2023 15:02",43.72,38.94,2.301,"sphere",6.39,5.46,4.41,0.2,6.179,5.193,27.529,28.118,NA,NA,"Aragonite","",0,4.78,0.109332113449222,NA,NA,NA,5.35850980980112,92.2886824289152,NA,86.9423633352015,NA,NA,92.2886824289152,80.5620878051944,0.542687027994091
"97","1.2.9.2","T1.2","Ethalia","E18",10,"8/21/2023 15:03","8/23/2023 15:02",554.2,535.91,1.624,"sphere",13.61,11.88,10.81,0.37,14.451,11.331,142.673,140.189,NA,NA,"Aragonite","",0,18.2900000000001,0.0330025261638399,NA,NA,NA,12.0457381966245,459.960580412082,NA,467.390259938526,NA,NA,459.960580412082,915.1639036175,0.60557458375416
"98","1.2.9.3","T1.2","Ethalia","E18",1,"8/21/2023 15:03","8/23/2023 15:02",224.96,214.88,1.413,"sphere",10.33,8.92,7.88,0.29,10.779,8.662,80.551,78.587,NA,NA,"Aragonite","",0,10.08,0.0448079658605975,NA,NA,NA,8.98801519160236,256.925346423445,NA,260.555680485878,NA,NA,256.925346423445,380.180655977049,0.591718690741542
"99","1.2.9.4","T1.2","Ethalia","E18",8,"8/21/2023 15:03","8/23/2023 15:02",72.7,65.95,2.633,"sphere",7.51,6.37,5.88,0.26,7.588,6.357,41.12,40.879,NA,NA,"Aragonite","",0,6.75,0.0928473177441541,NA,NA,NA,6.55217615860655,136.2954141887,NA,137.193569348423,NA,NA,136.2954141887,147.28391430774,0.493604480446507
"100","1.2.9.5","T1.2","Ethalia","E18",5,"8/21/2023 15:03","8/23/2023 15:02",144.79,126.94,1.7,"sphere",9.66,7.83,6.02,0.31,9.648,7.868,62.803,62.376,NA,NA,"Aragonite","",0,17.85,0.123281994612888,NA,NA,NA,7.6932845029592,192.935711739046,NA,193.362687690991,NA,NA,192.935711739046,238.415234003073,0.607301796822823
"101","1.2.10.1","T1.2","Notocochlis","E18",11,"8/21/2023 15:03","8/23/2023 15:02",40.7,35.25,2.611,"sphere",5.74,4.33,5.58,0.23,5.403,4.51,21.066,23.642,NA,NA,"Aragonite","",0,5.45,0.133906633906634,NA,NA,NA,5.17620334685218,85.4940807443162,NA,83.7873403730177,NA,NA,85.4940807443162,72.6160480816918,0.560482167167968
"102","1.2.10.2","T1.2","Notocochlis","E18",7,"8/21/2023 15:03","8/23/2023 15:02",32.27,27.49,2.521,"sphere",5.61,3.88,5.42,0.22,5.509,4.358,20.019,20.218,NA,NA,"Aragonite","",0,4.78,0.148125193678339,NA,NA,NA,4.90453635156063,77.6001659770561,NA,81.5740255167106,NA,NA,77.6001659770561,61.7721184715163,0.522403971216885
"103","1.2.10.3","T1.2","Notocochlis","E19",8,"8/21/2023 15:03","8/23/2023 15:02",46.87,43.91,1.914,"sphere",5.54,4.32,5.26,0.22,5.551,4.499,19.217,22.212,NA,NA,"Aragonite","",0,2.96,0.0631534030296565,NA,NA,NA,5.01179253867409,79.8014799494265,NA,81.8196739766776,NA,NA,79.8014799494265,65.914031925121,0.711077727019412
"104","1.2.10.4","T1.2","Notocochlis","E19",5,"8/21/2023 15:03","8/23/2023 15:02",109.32,102.23,2.297,"sphere",7.64,5.41,7.37,0.28,7.428,5.363,35.242,39.686,NA,NA,"Aragonite","",0,7.08999999999999,0.0648554701792901,NA,NA,NA,6.72851725557367,145.552221662258,NA,141.883372372023,NA,NA,145.552221662258,159.498548019813,0.68539808893069
"105","1.2.10.5","T1.2","Notocochlis","E19",11,"8/21/2023 15:03","8/23/2023 15:02",117.94,109.98,2.371,"sphere",8,5.54,7.83,0.22,7.836,5.968,44.017,42.656,NA,NA,"Aragonite","",0,7.95999999999999,0.0674919450568085,NA,NA,NA,7.02727859283835,159.410310456018,NA,163.373274603284,NA,NA,159.410310456018,181.702179261265,0.64908412479972
"106","1.2.11.1","T1.2","Fustiaria","E19",1,"8/21/2023 15:03","8/23/2023 15:02",118.49,102.33,2.668,"2cone",3.59,3.59,16.25,0.35,3.809,3.213,61.086,61.487,16.673,NA,"Aragonite","",0,16.16,0.136382817115368,NA,NA,NA,5.93855460491621,204.63197518635,NA,218.573604472494,NA,NA,204.63197518635,54.829071210781,2.16107983198339
"107","1.2.11.2","T1.2","Fustiaria","E19",1,"8/21/2023 15:03","8/23/2023 15:02",143.63,126.46,2.819,"2cone",3.13,3.13,33.53,0.18,3.071,1.115,72.996,63.582,34.038,NA,"Aragonite","",0,17.17,0.119543270904407,NA,NA,NA,6.89986737125171,345.454568726455,NA,338.645049408817,NA,NA,345.454568726455,85.9984958207077,1.67014549067747
"108","1.2.11.3","T1.2","Fustiaria","E19",7,"8/21/2023 15:03","8/23/2023 15:02",299.66,278.48,1.969,"2cone",3.65,3.65,44.69,0.23,3.676,1.065,103.839,120.728,45.714,NA,"Aragonite","",0,21.18,0.0706801041180004,NA,NA,NA,8.41263463815303,533.805932640311,NA,537.764663822116,NA,NA,533.805932640311,155.870780551312,1.92248989156344
"109","1.2.11.4","T1.2","Fustiaria","E19",7,"8/21/2023 15:03","8/23/2023 15:02",163.64,144.07,2.809,"2cone",3.05,3.05,35.36,0.24,3.194,1.151,93.411,82.223,36.405,NA,"Aragonite","",0,19.57,0.119591786849181,NA,NA,NA,6.90299107176697,353.741770037523,NA,371.197349471435,NA,NA,353.741770037523,86.1153481448561,1.90024198386492
"110","1.2.11.5","T1.2","Fustiaria","E19",3,"8/21/2023 15:03","8/23/2023 15:02",106.49,91.64,2.791,"2cone",3.29,3.29,25.99,0.16,3.275,1.443,65.775,67.042,26.225,NA,"Aragonite","",0,14.85,0.13944971358813,NA,NA,NA,6.55238426107316,286.168469020651,NA,284.781720936634,NA,NA,286.168469020651,73.6489741628613,1.44591287537172
"111","1.3.1.1","T1.3","Marginopora","E17",3,"8/28/2023 16:32","8/30/2023 16:32",47.97,44.12,2.657,"cylinder1",7.46,7.32,1.07,1.07,7.537,7.247,43.848,44.189,NA,NA,"Calcite","",0,3.85,0.0802584948926413,NA,NA,NA,3.88041250441219,110.618304766285,NA,112.885238598009,NA,NA,110.618304766285,45.8905822094565,1.04531251708798
"112","1.3.1.2","T1.3","Marginopora","E17",11,"8/28/2023 16:32","8/30/2023 16:32",73.58,67.65,2.727,"cylinder1",7.63,7.84,1.21,1.21,7.729,7.826,46.874,45.353,NA,NA,"Calcite","",0,5.92999999999999,0.080592552324001,NA,NA,NA,4.16749726659168,123.367044834185,NA,121.791821604586,NA,NA,123.367044834185,56.8480866772446,1.29432676279416
"113","1.3.1.3","T1.3","Marginopora","E17",3,"8/28/2023 16:32","8/30/2023 16:32",24.87,21.35,2.282,"cylinder1",6.54,6.62,0.64,0.64,6.57,6.673,35.509,35.321,NA,NA,"Calcite","",0,3.52,0.141535987133092,NA,NA,NA,3.02602076518035,81.237187792117,NA,84.1433156836767,NA,NA,81.237187792117,21.7623400989823,1.14279989591574
"114","1.3.1.4","T1.3","Marginopora","E17",4,"8/28/2023 16:32","8/30/2023 16:32",41.3,38.7,2.342,"cylinder1",6.05,5.86,1.01,1.01,6.184,5.993,29.428,29.776,NA,NA,"Calcite","",0,2.59999999999999,0.0629539951573849,NA,NA,NA,3.29603226837498,74.584708268508,NA,78.5228627400953,NA,NA,74.584708268508,28.123168297799,1.46854008633274
"115","1.3.1.5","T1.3","Marginopora","E17",5,"8/28/2023 16:32","8/30/2023 16:32",32.2,28.08,2.405,"cylinder1",6.73,7.01,0.76,0.76,6.634,7.103,39.017,40.081,NA,NA,"Calcite","",0,4.12,0.127950310559006,NA,NA,NA,3.29748041529706,90.5088131110239,NA,95.4973021472979,NA,NA,90.5088131110239,28.1602532282783,1.14345562658737
"116","1.3.2.1","T1.3","Turbo","E06",6,"8/28/2023 16:32","8/30/2023 16:32",132.88,128.08,2.684,"hemisphere",6.76,6.1,2.71,2.71,6.887,6.038,32.348,30.604,NA,NA,"Aragonite","",0,4.79999999999998,0.0361228175797711,NA,NA,NA,4.81668901357086,87.8455279389431,NA,88.0799369268883,NA,NA,87.8455279389431,54.3048799831681,2.44692558092728
"117","1.3.2.2","T1.3","Turbo","E06",5,"8/28/2023 16:32","8/30/2023 16:32",92.01,89.04,2.843,"hemisphere",6.34,5.58,2.23,2.23,6.44,5.7,29.156,28.638,NA,NA,"Aragonite","",0,2.97,0.0322791000978154,NA,NA,NA,4.28886892117064,71.1932019193251,NA,73.6092218890302,NA,NA,71.1932019193251,36.7869682184661,2.50115746026098
"118","1.3.2.3","T1.3","Turbo","E06",8,"8/28/2023 16:32","8/30/2023 16:32",143.77,139.96,2.723,"hemisphere",6.79,6.39,2.7,2.7,6.887,6.321,36.161,33.574,NA,NA,"Aragonite","",0,3.81,0.026500660777631,NA,NA,NA,4.89303285831685,91.0560785512793,NA,93.2537342781521,NA,NA,91.0560785512793,56.3098556720628,2.55319425496821
"119","1.3.2.4","T1.3","Turbo","E06",8,"8/28/2023 16:32","8/30/2023 16:32",89.88,86.5,2.605,"hemisphere",6.27,5.59,2.36,2.36,6.321,5.475,28.216,26.653,NA,NA,"Aragonite","",0,3.38,0.0376056964842011,NA,NA,NA,4.35709588329338,72.5527261401661,NA,72.8940617482568,NA,NA,72.5527261401661,39.3649502488227,2.28324942447217
"120","1.3.2.5","T1.3","Turbo","E06",4,"8/28/2023 16:32","8/30/2023 16:32",193.42,188.32,2.696,"hemisphere",7.65,6.84,2.96,2.96,7.679,6.948,41.506,40.602,NA,NA,"Aragonite","",0,5.09999999999999,0.0263674904353221,NA,NA,NA,5.37035608262666,109.718866789562,NA,110.935269900965,NA,NA,109.718866789562,74.4023681364985,2.59964843652761
"121","1.3.3.1","T1.3","Halimeda","E18",7,"8/28/2023 16:32","8/30/2023 16:32",59.52,49.96,1.658,"rhombus",11.28,8.75,0.9,0.9,11.509,9.057,74.703,74.035,NA,54.372,"Aragonite","",0,9.56,0.160618279569892,NA,NA,NA,4.4619005620924,124.396593470731,7.13794263075853,197.6728,7.32267591116799,197.6728,197.6728,66.9321,0.889259413644574
"122","1.3.3.2","T1.3","Halimeda","E18",7,"8/28/2023 16:32","8/30/2023 16:32",55.79,48.77,2.137,"rhombus",10.15,8.62,0.95,0.95,10.472,8.68,59.037,58.182,NA,41.769,"Aragonite","",0,7.02,0.125829001613192,NA,NA,NA,4.36414298423961,112.794187897014,6.65820734131943,156.89955,6.80083053751525,156.89955,156.89955,55.679025,1.00199312038959
"123","1.3.3.3","T1.3","Halimeda","E18",4,"8/28/2023 16:32","8/30/2023 16:32",76.65,70.29,2.168,"rhombus",10.65,7.37,1.26,1.26,10.755,7.359,57.593,51.084,NA,44.555,"Aragonite","",0,6.36,0.0829745596868884,NA,NA,NA,4.62447618124041,111.128090072798,6.47571231603134,164.8163,6.51584426609476,164.8163,164.8163,68.46651,1.11952544389951
"124","1.3.3.4","T1.3","Halimeda","E18",11,"8/28/2023 16:32","8/30/2023 16:32",51.78,46.78,2.039,"rhombus",9.96,7.28,0.93,0.93,10.096,7.406,53.388,52.899,NA,38.273,"Aragonite","",0,5,0.0965623792970259,NA,NA,NA,4.0702825256087,95.4555017237772,6.16846820531645,141.88089,6.26055213220048,141.88089,141.88089,49.423455,1.04768070139977
"125","1.3.3.5","T1.3","Halimeda","E18",3,"8/28/2023 16:32","8/30/2023 16:32",56.03,51.5,1.583,"rhombus",11.27,7.57,1.03,1.03,11.442,7.501,64.126,63.405,NA,45.92,"Aragonite","",0,4.53,0.0808495448866679,NA,NA,NA,4.44582475860847,113.281220502329,6.78818458794397,174.8286,6.84076686125174,174.8286,174.8286,65.678465,0.853095455260716
"126","1.3.4.1","T1.3","Pinguitellina","E17",2,"8/28/2023 16:32","8/30/2023 16:32",69.75,64.67,2.246,"2dome",10.59,8.2,1.81,0.37,10.667,8.286,62.656,62.829,NA,NA,"Aragonite","",0,5.08,0.072831541218638,NA,NA,NA,5.39671473696406,156.989154811066,NA,159.421944471746,NA,NA,156.989154811066,64.8279822975774,1.07592427726393
"127","1.3.4.2","T1.3","Pinguitellina","E17",8,"8/28/2023 16:32","8/30/2023 16:32",32.15,27.01,2.149,"2dome",8.53,6.96,1.58,0.26,8.622,6.863,43.553,43.949,NA,NA,"Aragonite","",0,5.14,0.159875583203732,NA,NA,NA,4.54365260726155,108.941636767064,NA,108.633738695864,NA,NA,108.941636767064,38.9014726554349,0.826446861916122
"128","1.3.4.3","T1.3","Pinguitellina","E17",11,"8/28/2023 16:32","8/30/2023 16:32",51.33,33.2,2.317,"2dome",9.8,7.33,2.3,0.33,9.714,7.334,50.936,54.747,NA,NA,"Aragonite","",0,18.13,0.353204753555426,NA,NA,NA,5.48722323450247,146.074633613965,NA,145.145469887554,NA,NA,146.074633613965,71.2516617226206,0.720404251059088
"129","1.3.4.4","T1.3","Pinguitellina","E17",10,"8/28/2023 16:32","8/30/2023 16:32",59.2,54.99,2.749,"2dome",9.11,7.49,2.21,0.36,9.072,7.628,48.52,49.612,NA,NA,"Aragonite","",0,4.21,0.0711148648648649,NA,NA,NA,5.322685706993,137.869264841686,NA,139.388721261336,NA,NA,137.869264841686,64.8694640178751,0.912601959894214
"130","1.3.4.5","T1.3","Pinguitellina","E17",2,"8/28/2023 16:32","8/30/2023 16:32",79.64,74.7,2.649,"2dome",10.48,8.32,2.57,0.38,10.6,8.478,63.968,64.659,NA,NA,"Aragonite","",0,4.94,0.0620291310899045,NA,NA,NA,6.07396908901174,178.463197235414,NA,182.662249976202,NA,NA,178.463197235414,96.8868520015945,0.82198975768858
"131","1.3.5.1","T1.3","Alaona","E17",1,"8/28/2023 16:32","8/30/2023 16:32",313.3,288.14,2.91,"2dome",24.26,15.36,3.35,0.35,24.173,15.545,285.018,285.625,NA,NA,"Aragonite","",0,25.16,0.0803064155761252,NA,NA,NA,10.7673527132148,655.844537230182,NA,660.770059710167,NA,NA,655.844537230182,509.900015293959,0.614434184355498
"132","1.3.5.2","T1.3","Alaona","E17",4,"8/28/2023 16:32","8/30/2023 16:32",23.62,16.49,2.642,"2dome",11.89,7.46,1.37,0.11,11.849,7.489,69.949,69.026,NA,NA,"Aragonite","",0,7.13,0.30186282811177,NA,NA,NA,4.95313786692382,151.121602211957,NA,151.180917052053,NA,NA,151.121602211957,49.0664341927331,0.481388150343686
"133","1.3.5.3","T1.3","Alaona","E17",5,"8/28/2023 16:32","8/30/2023 16:32",22.82,19.27,2.683,"2dome",11.48,7.19,1.31,0.13,11.469,7.11,62.928,64.747,NA,NA,"Aragonite","",0,3.55,0.155565293602103,NA,NA,NA,4.76409805263799,140.437988074894,NA,138.872516747647,NA,NA,140.437988074894,43.6392457044606,0.522923795579433
"134","1.3.5.4","T1.3","Alaona","E17",7,"8/28/2023 16:32","8/30/2023 16:32",17.67,14.57,2.366,"2dome",10.01,5.88,1.47,0.11,10.04,5.975,51.879,49.403,NA,NA,"Aragonite","",0,3.1,0.175438596491228,NA,NA,NA,4.42292504459925,106.03252196984,NA,107.807835978383,NA,NA,106.03252196984,35.6405047169965,0.495784224727138
"135","1.3.5.5","T1.3","Alaona","E17",8,"8/28/2023 16:32","8/30/2023 16:32",20.29,15.59,2.411,"2dome",11.03,6.19,1.19,0.13,10.907,6.447,53.585,54.564,NA,NA,"Aragonite","",0,4.7,0.231641202562839,NA,NA,NA,4.33116146324964,116.144837482847,NA,119.351977896358,NA,NA,116.144837482847,32.7883947729702,0.618816509331726
"136","1.3.6.1","T1.3","Calcite",NA,10,"8/28/2023 16:32","8/30/2023 16:32",858.1,849.22,2.703,"cube",12.26,8.87,3.06,3.06,12.159,8.783,119.867,121.789,NA,NA,"Calcite","",0,8.88,0.0103484442372684,NA,NA,NA,6.92965859777498,346.808,NA,341.750034,NA,NA,346.808,332.763372,2.57870929376206
"137","1.3.6.2","T1.3","Calcite",NA,6,"8/28/2023 16:32","8/30/2023 16:32",334.69,330.65,2.707,"cube",12.06,4.39,2.44,2.44,11.675,4.28,62.607,67.946,NA,NA,"Calcite","",0,4.04000000000002,0.0120708715527802,NA,NA,NA,5.05514811413143,186.1628,NA,177.7984,NA,NA,186.1628,129.181896,2.59084291501651
"138","1.3.6.3","T1.3","Calcite",NA,1,"8/28/2023 16:32","8/30/2023 16:32",638.05,630.3,2.693,"cube",12.68,6.18,3.04,3.04,12.446,6.249,99.519,94.992,NA,NA,"Calcite","",0,7.75,0.0121463835122639,NA,NA,NA,6.1990780453588,271.3936,NA,269.215708,NA,NA,271.3936,238.221696,2.67838744628869
"139","1.3.6.4","T1.3","Calcite",NA,2,"8/28/2023 16:32","8/30/2023 16:32",579.56,571.56,2.705,"cube",9.2,7.58,3.33,3.33,9.283,7.619,79.829,81.765,NA,NA,"Calcite","",0,8,0.0138035751259576,NA,NA,NA,6.14658307117647,251.2268,NA,254.021674,NA,NA,251.2268,232.22088,2.49572734372551
"140","1.3.6.5","T1.3","Calcite",NA,6,"8/28/2023 16:32","8/30/2023 16:32",515.06,510.28,2.646,"cube",11.91,7.18,2.38,2.38,11.962,7.432,98.086,99.272,NA,NA,"Calcite","",0,4.77999999999997,0.00928047217799863,NA,NA,NA,5.88217201908646,261.896,NA,270.118608,NA,NA,261.896,203.522844,2.53072328332833
"141","1.3.7.1","T1.3","Aragonite",NA,9,"8/28/2023 16:32","8/30/2023 16:32",335.22,327.86,2.831,"cube",6.05,5.86,3.66,3.66,5.995,5.924,37.542,37.942,NA,NA,"Aragonite","",0,7.36000000000001,0.0219557305650021,NA,NA,NA,5.0626514144623,158.0872,NA,158.27584,NA,NA,158.0872,129.75798,2.58342492692935
"142","1.3.7.2","T1.3","Aragonite",NA,2,"8/28/2023 16:32","8/30/2023 16:32",741.48,729.33,2.83,"cube",8.33,5.94,5.6,5.6,8.266,5.911,54.147,59.643,NA,NA,"Aragonite","",0,12.15,0.0163861466256676,NA,NA,NA,6.51938293180266,258.7844,NA,256.503052,NA,NA,258.7844,277.08912,2.67596215975568
"143","1.3.7.3","T1.3","Aragonite",NA,10,"8/28/2023 16:32","8/30/2023 16:32",730.71,700.55,2.84,"cube",8.04,6.28,5.4,5.4,7.787,6.008,56.758,52.783,NA,NA,"Aragonite","",0,30.1600000000001,0.0412749243886084,NA,NA,NA,6.4844003034383,255.6384,NA,242.554592,NA,NA,255.6384,272.65248,2.68000496456148
"144","1.3.7.4","T1.3","Aragonite",NA,9,"8/28/2023 16:32","8/30/2023 16:32",466.04,457.84,2.831,"cube",6.85,6.16,4.42,4.42,6.678,6.069,43.677,42.484,NA,NA,"Aragonite","",0,8.20000000000005,0.0175950562183505,NA,NA,NA,5.71344236839762,199.4004,NA,193.741044,NA,NA,199.4004,186.50632,2.4987893171663
"145","1.3.7.5","T1.3","Aragonite",NA,10,"8/28/2023 16:32","8/30/2023 16:32",381.18,376.07,2.843,"cube",6.44,4.71,4.83,4.83,6.543,5.174,37.374,33.35,NA,NA,"Aragonite","",0,5.11000000000001,0.013405740070308,NA,NA,NA,5.27170745465935,168.3738,NA,180.893184,NA,NA,168.3738,146.505492,2.6018137258636
"146","1.3.8.1","T1.3","Liloa","E18",8,"8/28/2023 16:32","8/30/2023 16:32",36.54,29.28,2.796,"cylinder2",10.25,3.84,3.84,0.13,10.286,4,35.405,34.016,NA,NA,"Aragonite","",0,7.26,0.198686371100164,NA,NA,NA,5.32674742624583,146.815421161681,NA,73.3876043878576,NA,NA,146.815421161681,118.706963371482,0.307816820194881
"147","1.3.8.2","T1.3","Liloa","E18",3,"8/28/2023 16:32","8/30/2023 16:32",99.26,85.55,2.677,"cylinder2",12.13,5.48,5.48,0.21,12.194,5.857,57.326,53.276,NA,NA,"Aragonite","",0,13.71,0.138122103566391,NA,NA,NA,7.14179378334327,256.000845518664,NA,154.718991264896,NA,NA,256.000845518664,286.096008803881,0.346946468826984
"148","1.3.8.3","T1.3","Liloa","E18",6,"8/28/2023 16:32","8/30/2023 16:32",13.85,10.49,2.388,"cylinder2",8.08,3.15,3.15,0.15,8.104,3.251,16.995,18.16,NA,NA,"Aragonite","",0,3.36,0.242599277978339,NA,NA,NA,4.31198746271724,95.5460427717898,NA,48.7736987566759,NA,NA,95.5460427717898,62.9683552725943,0.219951751003221
"149","1.3.8.4","T1.3","Liloa","E19",3,"8/28/2023 16:32","8/30/2023 16:32",27.17,21.5,2.716,"cylinder2",9.02,4.16,4.16,0.14,9.005,4.171,37.838,31.944,NA,NA,"Aragonite","",0,5.67,0.208686050791314,NA,NA,NA,5.38432252129836,145.066182372162,NA,81.8384273649574,NA,NA,145.066182372162,122.597913837548,0.221618779223295
