"","shellID","exptID","taxon","source","pocket","dateM1","dateM2","mass1","mass2","shape","xDim","yDim","zDim","calcX1","calcX2","polymorph","mag","notes","exclude","cMass","pMass","cTime1","cTime2","cDuration","cSize","finalSA","calcX","massSA","volume","densityMV","rootMass","deviation","deviationStan","poros"
"48","1.2.2.6",1.2,"Calcite",NA,NA,NA,NA,823.5,814.44,NA,7.37,7.19,6.76,NA,NA,"Calcite",0.01,"",0,9.05999999999995,0.0110018214936247,NA,NA,NA,7.10200583412112,302.8318,NA,0.0299175978216289,358.214428,2.29890237698633,9.37319965428936,0.232664721959625,0.0327604239413326,0.152009451498955
"49","1.2.3.1",1.2,"Centrostephanus",NA,NA,NA,NA,296.84,272.77,NA,73.19,2.8,2.83,NA,NA,"Calcite",0.08,"",0,24.07,0.081087454520954,NA,NA,NA,8.3393475020843,650.832458797279,NA,0.0369834043687383,151.832534157488,1.95504870973241,6.67074195274334,25.2997825006948,3.03378441711074,0.278845920423308
"51","1.2.3.3",1.2,"Centrostephanus",NA,NA,NA,NA,294,279.72,NA,58.6,2.9,3.04,NA,NA,"Calcite",0.08,"",0,14.28,0.0485714285714285,NA,NA,NA,8.02397805977844,559.84412084692,NA,0.0255071000449152,135.250171406266,2.17374955567989,6.64939976115097,20.2279926865928,2.52094317007035,0.198174269391407
"54","1.2.3.6",1.2,"Centrostephanus",NA,NA,NA,NA,274.47,248.17,NA,73.33,3.1,3.1,NA,NA,"Calcite",0.08,"",0,26.3,0.0958210369074946,NA,NA,NA,8.89887331611332,714.315786659813,NA,0.0368184498945215,184.490368921265,1.4877199368447,6.49877689017653,25.3429577720378,2.84788386931511,0.451228352325819
"55","1.2.4.1",1.2,"Pecten",NA,NA,NA,NA,721.77,693.82,NA,17.94,16.03,0.75,21.532,21.154,"Calcite",0.01,"",0,27.9499999999999,0.038724247336409,NA,NA,NA,5.99706940216577,740.31608,21.343,0.0377541441488073,256.5962175,2.81286297604913,8.97014800733649,10.2086435326114,1.70227203455819,-0.0375739491143972
"56","1.2.4.2",1.2,"Pecten",NA,NA,NA,NA,1343.31,1315.01,NA,22.56,20.85,1.28,24.703,23.973,"Calcite",0.01,"",0,28.3,0.0210673634529632,NA,NA,NA,8.44406772916772,1130.57588,24.338,0.0250314910309248,649.532544,2.06811808339506,11.0338078329556,11.8213107569441,1.39995451672073,0.237138294579467
"57","1.2.4.3",1.2,"Pecten",NA,NA,NA,NA,937.62,908.66,NA,22.97,19.62,0.93,25.944,26.677,"Calcite",0.01,"",0,28.96,0.0308867131673813,NA,NA,NA,7.48366460648706,1117.85475,26.3105,0.0259067647205507,480.0771693,1.95306100760247,9.78758667098815,12.5056117978376,1.67105455086769,0.279579119290863
"58","1.2.4.4",1.2,"Pecten",NA,NA,NA,NA,1040.81,1008.61,NA,19.22,16.7,1.58,22.913,23.168,"Calcite",0.01,"",0,32.1999999999999,0.0309374429530846,NA,NA,NA,7.97460132374149,895.13268,23.0405,0.0359723208854356,607.946633,1.71200882364291,10.1342236733091,10.0619662254195,1.26175163082619,0.368495454207705
"59","1.2.4.5",1.2,"Pecten",NA,NA,NA,NA,1082.34,1050.58,NA,20.74,21.43,0.95,25.844,25.327,"Calcite",0.01,"",0,31.76,0.0293438291110002,NA,NA,NA,7.5021344443472,1185.92398,25.5855,0.0267808059670064,520.88240175,2.07789703849406,10.2672602306702,12.8544551852176,1.71343972579741,0.233531155111006
"60","1.2.4.6",1.2,"Pecten",NA,NA,NA,NA,609.72,590.67,NA,19.96,12.98,1.09,21.881,22.121,"Calcite",0.01,"",0,19.0500000000001,0.0312438496358986,NA,NA,NA,6.56075634497595,647.40454,22.001,0.0294251875342117,311.2745482,1.95878527019255,8.47962826185789,9.11008121834135,1.38857179558537,0.277467624421783
"61","1.2.5.1",1.2,"Saccostrea",NA,NA,NA,NA,457.93,430.02,NA,11.5,10.1,2.71,NA,NA,"Calcite",0,"corner flaking",0,27.91,0.060948179852816,NA,NA,NA,6.80241047760804,349.372,NA,0.0798861958027547,314.7665,1.45482444923459,7.70784605311912,4.02919650746399,0.592318931756202,0.463362431119664
"62","1.2.5.2",1.2,"Saccostrea",NA,NA,NA,NA,278.08,262.99,NA,13.43,9.8,1.14,NA,NA,"Calcite",0,"",0,15.09,0.0542649597238204,NA,NA,NA,5.31376462442632,316.1924,NA,0.0477241072207933,150.03996,1.85337292811862,6.52714486427751,5.59207845852456,1.052376018467,0.316350819580001
"63","1.2.5.3",1.2,"Saccostrea",NA,NA,NA,NA,619,590.45,NA,12.47,10.6,3.05,NA,NA,"Calcite",0,"",0,28.55,0.0461227786752826,NA,NA,NA,7.38738476385915,405.091,NA,0.0704779913649031,403.1551,1.53538923357289,8.52243209752116,4.21087174538028,0.570008450890615,0.433644694366328
"64","1.2.5.4",1.2,"Saccostrea",NA,NA,NA,NA,386.61,377.49,NA,11.54,8.8,2.17,NA,NA,"Calcite",0,"",0,9.12,0.0235896640024831,NA,NA,NA,6.04017337923137,291.3796,NA,0.0312993771698499,220.36784,1.7543848503484,7.28491285741653,4.04327554025621,0.669397265012074,0.352864311933457
"65","1.2.5.5",1.2,"Saccostrea",NA,NA,NA,NA,398.23,381.32,NA,11.57,9.42,2.32,NA,NA,"Calcite",0,"",0,16.91,0.0424628983250886,NA,NA,NA,6.32349843695408,315.3724,NA,0.0536191499319535,252.855408,1.57493170958796,7.35717903469366,4.11550052101531,0.650826526178075,0.419058757068257
"66","1.2.5.6",1.2,"Saccostrea",NA,NA,NA,NA,509.12,492.36,NA,10.72,9.24,2.65,NA,NA,"Calcite",0,"",0,16.76,0.0329195474544312,NA,NA,NA,6.40281386682184,303.8936,NA,0.055150881755983,262.48992,1.93957924174765,7.98497178677842,3.63572871105939,0.567832953867212,0.284552105589212
"67","1.2.6.1",1.2,"Anadara",NA,NA,NA,NA,576.05,563.12,NA,9.31,8.98,2.42,11.627,10.668,"Mixed",NA,"calcx is x",0,12.9299999999999,0.0224459682319242,NA,NA,NA,5.87057257256226,281.12545,11.1475,0.0459937013884725,202.321196,2.84720539117414,8.32057603568428,3.33314247581258,0.567771275222956,0.0135107091767237
"68","1.2.6.2",1.2,"Anadara",NA,NA,NA,NA,417.83,407.66,NA,9.27,8.2,2.45,10.5,11.568,"Mixed",NA,"calcx is x",0,10.17,0.0243400426010577,NA,NA,NA,5.71066332621234,260.7394,11.034,0.0390044619263524,186.2343,2.24357167288733,7.47595260843037,3.10311222459588,0.543389103390561,0.222655507973347
"69","1.2.6.3",1.2,"Anadara",NA,NA,NA,NA,932.47,915,NA,15.23,9.05,2.74,17.694,19.226,"Mixed",NA,"calcx is x",0,17.47,0.0187351871910089,NA,NA,NA,7.22824750741077,455.6493,18.46,0.0383408906806178,377.65831,2.46908375986748,9.76963389647871,4.77058416419641,0.659991811197024,0.144520906428008
"70","1.2.6.4",1.2,"Anadara",NA,NA,NA,NA,592.5,583.13,NA,11.25,8.64,2.52,11.011,11.895,"Mixed",NA,"calcx is x",0,9.37,0.0158143459915612,NA,NA,NA,6.25684796079561,297.42264,11.453,0.0315039904157935,244.944,2.41892024299432,8.39903617059204,3.70438401306813,0.592052745452534,0.161901377938356
"71","1.2.6.5",1.2,"Anadara",NA,NA,NA,NA,1088.8,1066.72,NA,11.39,11.33,4.13,14.068,14.045,"Mixed",NA,"calcx is x",0,22.0799999999999,0.0202792064658339,NA,NA,NA,8.10776642189169,498.001335,14.0565,0.0443372305417613,532.971131,2.04288738483286,10.2876466093309,3.49407785936944,0.430954430302175,0.292187864724255
