"","shellID","exptID","taxon","source","pocket","dateM1","dateM2","mass1","mass2","shape","xDim","yDim","zDim","thick","calcX","calcY","calcSA1","calcSA2","perimeter","polymorph","note","exclude","cMass","pMass","cTime1","cTime2","cDuration","cSize","cSA1","cDim","calcSAPerim","finalSA","volume","densityMV"
"17","4.1.4.2","T4.1","Pinguitellina","E21",5,"11/6/2023 12:30","11/13/2023 12:30",63.81,58.09,"2dome",10.6,8.76,2.27,0.26,NA,NA,NA,NA,NA,"Aragonite","",0,5.72,0.0896411220811785,NA,NA,NA,5.95130136542046,178.234489290233,NA,NA,178.234489290233,88.8989159984637,0.717781530666839
"18","4.1.4.3","T4.1","Pinguitellina","E21",1,"11/6/2023 12:30","11/13/2023 12:30",76.11,68.92,"2dome",9.74,8.35,2.26,0.37,NA,NA,NA,NA,NA,"Aragonite","",0,7.19,0.0944685323873341,NA,NA,NA,5.68570894132763,159.843291736853,NA,NA,159.843291736853,78.2234741910904,0.972981586244464
"19","4.1.4.4","T4.1","Pinguitellina","E21",11,"11/6/2023 12:30","11/13/2023 12:30",73.58,68.67,"2dome",10.6,8.44,2.16,0.35,NA,NA,NA,NA,NA,"Aragonite","",0,4.91,0.0667300896982875,NA,NA,NA,5.78141335072897,169.844551949556,NA,NA,169.844551949556,81.1627194798563,0.906573861392874
"20","4.1.4.5","T4.1","Pinguitellina","E21",11,"11/6/2023 12:30","11/13/2023 12:30",164.47,155.4,"2dome",13.34,11.16,3.52,0.39,NA,NA,NA,NA,NA,"Aragonite","",0,9.06999999999999,0.0551468352891104,NA,NA,NA,8.0622122832247,311.702539903872,NA,NA,311.702539903872,228.625543300428,0.719385933984971
"21","4.1.5.1","T4.1","Abranda","E21",7,"11/6/2023 12:30","11/13/2023 12:30",18.4,12.93,"2dome",10.42,6.84,1.22,0.09,NA,NA,NA,NA,NA,"Aragonite","",0,5.47,0.297282608695652,NA,NA,NA,4.43024642491506,121.306945451593,NA,NA,121.306945451593,35.0970667837907,0.524260335296677
"22","4.1.5.2","T4.1","Abranda","E21",8,"11/6/2023 12:30","11/13/2023 12:30",38.4,32.07,"2dome",13.45,8.33,1.57,0.13,NA,NA,NA,NA,NA,"Aragonite","",0,6.33,0.16484375,NA,NA,NA,5.6030218066147,191.477087723277,NA,NA,191.477087723277,71.1022144583933,0.540067567409879
"23","4.1.5.3","T4.1","Abranda","E21",7,"11/6/2023 12:30","11/13/2023 12:30",24.46,18.31,"2dome",12.44,7.26,1.38,0.1,NA,NA,NA,NA,NA,"Aragonite","",0,6.15,0.251430907604252,NA,NA,NA,4.99511351935041,153.831225875678,NA,NA,153.831225875678,50.3196623643405,0.486092291774474
"24","4.1.5.4","T4.1","Abranda","E21",10,"11/6/2023 12:30","11/13/2023 12:30",69.8,59.39,"2dome",15.49,9.96,1.83,0.19,NA,NA,NA,NA,NA,"Aragonite","",0,10.41,0.149140401146132,NA,NA,NA,6.56025340459745,263.384844891661,NA,NA,263.384844891661,114.080829958995,0.611846881067476
"25","4.1.5.5","T4.1","Abranda","E21",9,"11/6/2023 12:30","11/13/2023 12:30",44.89,37.36,"2dome",12.93,7.64,1.57,0.12,NA,NA,NA,NA,NA,"Aragonite","",0,7.53,0.167743372688795,NA,NA,NA,5.37275675203387,170.658852765366,NA,NA,170.658852765366,62.9310572374134,0.713320290022274
"26","4.1.6.1","T4.1","Calcite",NA,9,"11/6/2023 12:30","11/13/2023 12:30",391.63,390.77,"cube",6.75,5.55,3.89,3.89,NA,NA,NA,NA,NA,"Calcite","",0,0.860000000000014,0.00219595025917323,NA,NA,NA,5.26237895204742,170.619,NA,NA,170.619,145.729125,2.68738318438404
"27","4.1.6.2","T4.1","Calcite",NA,11,"11/6/2023 12:30","11/13/2023 12:30",322.94,322.02,"cube",7.38,4.38,3.75,3.75,NA,NA,NA,NA,NA,"Calcite","",0,0.920000000000016,0.00284882640738223,NA,NA,NA,4.94903562480165,152.8488,NA,NA,152.8488,121.2165,2.66415875726489
"28","4.1.6.3","T4.1","Calcite",NA,8,"11/6/2023 12:30","11/13/2023 12:30",234.52,233.76,"cube",5.45,4.87,3.19,3.19,NA,NA,NA,NA,NA,"Calcite","",0,0.760000000000019,0.00324066177724723,NA,NA,NA,4.3910870712137,118.9246,NA,NA,118.9246,84.667385,2.769897759332
"29","4.1.6.4","T4.1","Calcite",NA,1,"11/6/2023 12:30","11/13/2023 12:30",475.64,474.47,"cube",10.65,5.97,3.08,3.08,NA,NA,NA,NA,NA,"Calcite","",0,1.16999999999996,0.00245984357917744,NA,NA,NA,5.80708547458926,229.5402,NA,NA,229.5402,195.82794,2.42886689202777
"30","4.1.6.5","T4.1","Calcite",NA,3,"11/6/2023 12:30","11/13/2023 12:30",306.5,304.98,"cube",6.75,4.37,3.92,3.92,NA,NA,NA,NA,NA,"Calcite","",0,1.51999999999998,0.00495921696574219,NA,NA,NA,4.87181093202083,146.1758,NA,NA,146.1758,115.6302,2.65069160132906
"31","4.1.7.1","T4.1","Tridacna",NA,8,"11/6/2023 12:30","11/13/2023 12:30",997.22,983.36,"cube",9.6,7.95,5.28,5.28,NA,NA,NA,NA,NA,"Aragonite","",0,13.86,0.0138986382142356,NA,NA,NA,7.38625156053003,337.968,NA,NA,337.968,402.9696,2.4746779905978
"32","4.1.7.2","T4.1","Tridacna",NA,7,"11/6/2023 12:30","11/13/2023 12:30",452.46,446.42,"cube",8.74,7.17,2.89,2.89,NA,NA,NA,NA,NA,"Aragonite","",0,6.03999999999996,0.013349246342218,NA,NA,NA,5.6577377158446,217.2914,NA,NA,217.2914,181.104162,2.49834125844109
"33","4.1.7.3","T4.1","Tridacna",NA,3,"11/6/2023 12:30","11/13/2023 12:30",797.19,783.26,"cube",9.86,9.57,3.52,3.52,NA,NA,NA,NA,NA,"Aragonite","",0,13.9300000000001,0.0174738769929378,NA,NA,NA,6.92538367286953,325.5076,NA,NA,325.5076,332.147904,2.40010546626843
"34","4.1.7.4","T4.1","Tridacna",NA,2,"11/6/2023 12:30","11/13/2023 12:30",1063.57,1051.7,"cube",10.79,7.64,5.5,5.5,NA,NA,NA,NA,NA,"Aragonite","",0,11.8699999999999,0.0111605254003027,NA,NA,NA,7.68232184391606,367.6012,NA,NA,367.6012,453.3958,2.34578705845974
"35","4.1.7.5","T4.1","Tridacna",NA,1,"11/6/2023 12:30","11/13/2023 12:30",508.06,502.85,"cube",9.7,6.93,3.27,3.27,NA,NA,NA,NA,NA,"Aragonite","",0,5.20999999999998,0.0102546943274416,NA,NA,NA,6.03509680211967,243.2022,NA,NA,243.2022,219.81267,2.31133173533628
"36","4.1.8.1","T4.1","Liloa","E21",3,"11/6/2023 12:30","11/13/2023 12:30",27.71,25.12,"cylinder2",8.78,4.12,3.65,0.09,NA,NA,NA,NA,NA,"Aragonite","",0,2.59,0.0934680620714543,NA,NA,NA,5.09207586545399,73.9065954942306,NA,NA,73.9065954942306,48.6605684344238,0.56945491784262
"37","4.1.8.2","T4.1","Liloa","E21",2,"11/6/2023 12:30","11/13/2023 12:30",45.68,41.43,"cylinder2",10.95,4.43,3.9,0.15,NA,NA,NA,NA,NA,"Aragonite","",0,4.25,0.0930385288966725,NA,NA,NA,5.74064667126595,85.104017109788,NA,NA,85.104017109788,60.1121056257485,0.759913490377442
"38","4.1.8.3","T4.1","Liloa","E21",6,"11/6/2023 12:30","11/13/2023 12:30",53.93,48.06,"cylinder2",9.6,4.77,4.1,0.15,NA,NA,NA,NA,NA,"Aragonite","",0,5.87,0.108844798813276,NA,NA,NA,5.72608542693914,97.1802992701872,NA,NA,97.1802992701872,73.2673520750598,0.73607136702239
"39","4.1.8.4","T4.1","Liloa","E21",9,"11/6/2023 12:30","11/13/2023 12:30",32.18,25,"cylinder2",8.55,3.97,2.97,0.11,NA,NA,NA,NA,NA,"Aragonite","",0,7.18,0.223119950279677,NA,NA,NA,4.65412121628386,61.7993686461936,NA,NA,61.7993686461936,36.7643882830678,0.875303561485363
"40","4.1.8.5","T4.1","Liloa","E21",2,"11/6/2023 12:30","11/13/2023 12:30",40.33,35.14,"cylinder2",9.17,4.42,3.95,0.17,NA,NA,NA,NA,NA,"Aragonite","",0,5.19,0.128688321348872,NA,NA,NA,5.42995503876074,85.53677149782,NA,NA,85.53677149782,60.6082180836217,0.665421312079433
"41","4.1.9.1","T4.1","Ethalia","E24",4,"11/6/2023 12:30","11/13/2023 12:30",632.47,620.13,"sphere",14.1,12.58,9.23,0.38,NA,NA,NA,NA,NA,"Aragonite","",0,12.34,0.019510806836688,NA,NA,NA,11.7860193994734,450.130222839734,NA,NA,450.130222839734,857.235360394833,0.737802042730355
"42","4.1.9.2","T4.1","Ethalia","E24",1,"11/6/2023 12:30","11/13/2023 12:30",50.31,44.77,"sphere",6.65,5.74,5.11,0.19,NA,NA,NA,NA,NA,"Aragonite","",0,5.54,0.110117272907971,NA,NA,NA,5.79942334734641,106.901416684653,NA,NA,106.901416684653,102.129936091783,0.49260776933011
"43","4.1.9.3","T4.1","Ethalia","124.7",10,"11/6/2023 12:30","11/13/2023 12:30",218.06,209.83,"sphere",10.14,8.66,7.92,0.24,NA,NA,NA,NA,NA,"Aragonite","",0,8.22999999999999,0.0377419058974594,NA,NA,NA,8.85986306300321,249.218496045414,NA,NA,249.218496045414,364.149443768997,0.598820082609626
"44","4.1.9.4","T4.1","Ethalia","124.7",7,"11/6/2023 12:30","11/13/2023 12:30",861.76,843.7,"sphere",15.52,13.67,11.58,0.41,NA,NA,NA,NA,NA,"Aragonite","",0,18.0599999999999,0.0209571110285926,NA,NA,NA,13.493447706471,580.214778165457,NA,NA,580.214778165457,1286.37447271611,0.669913791262071
