"","shellID","exptID","taxon","source","pocket","dateM1","dateM2","mass1","mass2","shape","xDim","yDim","zDim","calcX1","calcX2","polymorph","mag","notes","exclude","cMass","pMass","cTime1","cTime2","cDuration","cSize","finalSA","calcX","massSA","volume","densityMV","rootMass","deviation","deviationStan","poros"
"1","3.1.1.1",3.1,"Aragonite",NA,NA,NA,NA,1921.08,1905.18,NA,12.42,7.89,7.58,NA,NA,"Aragonite",NA,"",0,15.8999999999999,0.00827659441564113,NA,NA,NA,9.05640706619044,503.8872,NA,0.0315546812858113,742.793004,2.58629253325601,12.4312600113768,2.00213568873015,0.221073950640377,0.117306302643001
"2","3.1.1.2",3.1,"Aragonite",NA,NA,NA,NA,1156.67,1142.48,NA,10.6,6.41,6.4,NA,NA,"Aragonite",NA,"",0,14.1900000000001,0.0122679761729794,NA,NA,NA,7.57613938646184,353.62,NA,0.0401278208246141,434.8544,2.65990179701528,10.4971118284679,1.78871312882061,0.236098233886371,0.0921836870255027
"3","3.1.1.3",3.1,"Aragonite",NA,NA,NA,NA,2027.77,2010.06,NA,14.84,9.32,6.29,NA,NA,"Aragonite",NA,"",0,17.71,0.00873373212938353,NA,NA,NA,9.54626500508665,580.5504,NA,0.030505534058714,869.962352,2.33087098003524,12.6572560141236,2.92542166836222,0.306446727259659,0.204480894185926
"4","3.1.1.4",3.1,"Aragonite",NA,NA,NA,NA,1925.35,1908.96,NA,11.67,5.33,11.4,NA,NA,"Aragonite",NA,"",0,16.3899999999999,0.00851273794375042,NA,NA,NA,8.91731905126679,512.0022,NA,0.0320115812002368,709.09254,2.71523093445603,12.4404635497562,2.94089364957774,0.329795719169649,0.0733000223699558
"5","3.1.1.5",3.1,"Aragonite",NA,NA,NA,NA,1010.59,1002.46,NA,7.92,6.64,5.97,NA,NA,"Aragonite",NA,"",0,8.13,0.00804480550965277,NA,NA,NA,6.79656065980277,279.024,NA,0.0291372785136762,313.955136,3.21889940351223,10.0351761189803,0.702186886600922,0.103315032668494,-0.0986004790144119
"6","3.1.1.6",3.1,"Aragonite",NA,NA,NA,NA,2001.54,1981.28,NA,7.34,6.49,13.51,NA,NA,"Aragonite",NA,"",0,20.26,0.0101222059014559,NA,NA,NA,8.63373475008096,468.9598,NA,0.0432019972714079,643.570466,3.11005570600563,12.602443466657,2.77124491669365,0.320978695421198,-0.0614524593875856
"7","3.1.2.1",3.1,"Calcite",NA,NA,NA,NA,209.76,205.13,NA,5.85,4.17,3.18,NA,NA,"Calcite",0.01,"",0,4.63,0.0220728451563692,NA,NA,NA,4.26487539418083,112.5162,NA,0.0411496300088342,77.57451,2.70398098550671,5.94165673838493,0.92162513139361,0.216096613901338,0.0025890868658397
"8","3.1.2.2",3.1,"Calcite",NA,NA,NA,NA,385.67,380.4,NA,9.27,6.81,2.46,NA,NA,"Calcite",0.01,"",0,5.27000000000004,0.0136645318536574,NA,NA,NA,5.37510952147487,205.371,NA,0.0256608771442903,155.296602,2.48344133118895,7.27900390912056,2.74829682617504,0.511300619121327,0.0839390146850066
"9","3.1.2.3",3.1,"Calcite",NA,NA,NA,NA,1385.84,1376.64,NA,9.89,8.64,7.15,NA,NA,"Calcite",0.01,"",0,9.19999999999982,0.00663857299543946,NA,NA,NA,8.48539424799089,435.8782,NA,0.0211068137842173,610.96464,2.26828184361046,11.1490457467241,0.964868584003036,0.113709340521389,0.163304373437677
"10","3.1.2.4",3.1,"Calcite",NA,NA,NA,NA,487.77,482.15,NA,8.97,8.77,2.19,NA,NA,"Calcite",0.01,"",0,5.62,0.0115218238104025,NA,NA,NA,5.56431939037006,235.035,NA,0.0239113323547557,172.280511,2.83125466234541,7.87175729430505,3.32856020320998,0.598197186338834,-0.0443580458669908
"11","3.1.2.5",3.1,"Calcite",NA,NA,NA,NA,1646.28,1635.55,NA,9.35,8.29,7.95,NA,NA,"Calcite",0.01,"",0,10.73,0.00651772480987439,NA,NA,NA,8.509638086922,435.499,NA,0.0246384033028779,616.216425,2.67159383166393,11.8077704253953,0.539879362307334,0.0634432812292035,0.0145356578148532
"13","3.1.3.1",3.1,"Pecten",NA,NA,NA,NA,619.57,591.47,NA,18.93,11.94,1.42,21.041,22.01,"Calcite",0.01,"",0,28.1,0.0453540358635828,NA,NA,NA,6.8466967859087,609.07096,21.5255,0.0461358394102389,364.9605474,1.69763555105847,8.52504722728772,8.39960107136377,1.22681072844516,0.373797288432877
"15","3.1.3.3",3.1,"Pecten",NA,NA,NA,NA,1136.11,1112.28,NA,20.55,19.88,1.15,23.133,24.542,"Calcite",0.01,"",0,23.8299999999999,0.0209750816382216,NA,NA,NA,7.77395487790631,1048.32925,23.8375,0.0227314080953097,544.972925,2.08470907063869,10.4345436665294,11.5978483740312,1.49188521880832,0.231018417322503
"16","3.1.3.4",3.1,"Pecten",NA,NA,NA,NA,1147.33,1122.85,NA,21.04,20.52,1.24,25.033,26.161,"Calcite",0.01,"",0,24.48,0.0213364942954512,NA,NA,NA,8.1198547216924,1164.87104,25.597,0.0210152018201088,651.3105456,1.76157135448046,10.4687810424564,12.2523817594359,1.50894100687582,0.350213443570468
"17","3.1.3.5",3.1,"Pecten",NA,NA,NA,NA,992.92,972.3,NA,21.11,19.51,1.31,24.579,23.784,"Calcite",0.01,"",0,20.62,0.0207670305764815,NA,NA,NA,8.14089711450974,1058.03386,24.1815,0.0194889793035546,618.03319515,1.60658037107378,9.97634408388965,11.4135342951634,1.40199957506167,0.407384592005246
"18","3.1.3.6",3.1,"Pecten",NA,NA,NA,NA,1138.7,1111.5,NA,20.53,10.92,2.23,24.157,24.08,"Calcite",0.01,"",0,27.2,0.0238868885571266,NA,NA,NA,7.93667902493309,683.01975,24.1185,0.0398231529908177,587.3240646,1.93879336576395,10.442466889144,8.29060699168897,1.04459396249288,0.284841989758777
"19","3.1.4.1",3.1,"Saccostrea",NA,NA,NA,NA,698,680.3,NA,14.26,12.08,2.53,NA,NA,"Calcite",0,"",0,17.7,0.0253581661891118,NA,NA,NA,7.58174185991365,477.802,NA,0.0370446335511363,435.819824,1.60157928015684,8.87057572247913,5.40941938002878,0.713479762299688,0.409229332291834
"20","3.1.4.2",3.1,"Saccostrea",NA,NA,NA,NA,639.31,625.92,NA,22.18,10.91,1.65,NA,NA,"Calcite",0,"",0,13.39,0.0209444557413461,NA,NA,NA,7.36359813187671,593.1646,NA,0.0225738353232812,399.27327,1.60118407125025,8.61464064660917,8.02546728937443,1.08988393250747,0.409375112043434
