"","exptID","taxon","shellID","source","pocket","dateM1","dateM2","mass1","mass2","shape","xDim","yDim","zDim","calcX1","calcX2","polymorph","mag","notes","exclude","cMass","pMass","cTime1","cTime2","cDuration","cSize","finalSA","calcX","massSA","volume","densityMV","rootMass","deviation","deviationStan","poros","tFont","tPoint","tAbrev","tColor","tLine","cTotal","percentTotal","SATotal","percentSATotal","perMassSA"
"14",1.1,"Aragonite","1.1.1.5",NA,NA,NA,NA,1739.48,1717.79,NA,14.52,7.64,6.27,NA,NA,"Aragonite",NA,"",0,21.6900000000001,0.0124692436820199,NA,NA,NA,8.86017919049494,499.752,NA,0.0434015271574702,695.548656,2.50087464765369,12.0265154418661,3.15672639683165,0.356282455350128,0.116298711076434,3,"A","Arago","#FFBF00",2,685.66,3.16337543388853,15978.8459059166,3.12758507681054,1.01144344796353
"15",1.1,"Pecten","1.1.4.2",NA,NA,NA,NA,1088.46,1041.91,NA,21.05,18.83,1.11,25.94,25.737,"Calcite",0.01,"",0,46.55,0.0427668449001341,NA,NA,NA,7.60574568395983,1072.24198,25.8385,0.0434137077901016,540.05824005,2.01544929654111,10.2865756553764,11.9842514386801,1.57568395482304,0.25656610234559,3,"P","Pecte","#8000FF",7,685.66,6.78907913543155,15978.8459059166,6.71038438140874,1.01172730942818
"16",1.1,"Pecten","1.1.4.6",NA,NA,NA,NA,1155.31,1126.36,NA,22.74,16.5,1.61,25.774,26.832,"Calcite",0.01,"",0,28.95,0.0250582094849002,NA,NA,NA,8.45343907257819,1005.82466,26.303,0.0287823525822086,698.739195,1.65342091622612,10.4929960850086,10.9131869758073,1.29097600185091,0.390106633631089,3,"P","Pecte","#8000FF",7,685.66,4.22220925823294,15978.8459059166,6.29472657739045,0.670753400695492
"17",1.1,"Centrostephanus","1.1.3.3",NA,NA,NA,NA,254.38,237.8,NA,51.75,3.02,2.99,NA,NA,"Calcite",0.08,"broken?",0,16.58,0.0651780800377388,NA,NA,NA,7.76001978375585,486.309287401965,NA,0.0340935294256381,122.336798793348,2.07934164134619,6.33618215942295,17.8333399279186,2.29810495654269,0.232998287957875,3,"C","Centr","#00FF40",4,685.66,2.4181081002246,15978.8459059166,3.04345689460523,0.794526810782466
"18",1.1,"Aragonite","1.1.1.3",NA,NA,NA,NA,2519.01,2488.72,NA,17.57,9.03,6.58,NA,NA,"Aragonite",NA,"",0,30.2900000000004,0.0120245652061724,NA,NA,NA,10.1444491249942,667.3702,NA,0.0453871029902151,1043.963718,2.41292868379167,13.6064019743699,4.03481637499806,0.397736370431093,0.147375023395169,3,"A","Arago","#FFBF00",2,685.66,4.41764139661062,15978.8459059166,4.17658574298465,1.05771595950852
"19",1.1,"Centrostephanus","1.1.3.6",NA,NA,NA,NA,317.93,292.49,NA,76.06,3.05,2.92,NA,NA,"Calcite",0.08,"broken?",0,25.44,0.0800176139401755,NA,NA,NA,8.7823957638372,697.861180970259,NA,0.0364542414647996,177.340381549045,1.79276709130161,6.82512332783983,26.2907985879457,2.99357934838258,0.338706347730869,3,"C","Centr","#00FF40",4,685.66,3.71029373158708,15978.8459059166,4.3674066642814,0.849541619728595
"20",1.1,"Calcite","1.1.2.1",NA,NA,NA,NA,1006.38,997.3,NA,10.62,5.37,6.53,NA,NA,"Calcite",0.01,"",0,9.08000000000004,0.00902243685287868,NA,NA,NA,7.19455595414369,322.8882,NA,0.0281211886962733,372.401982,2.70240237335794,10.0212215991819,1.97151865138123,0.274029233207331,0.00317138570345332,3,"C","Calci","#80FF00",3,685.66,1.32427150482747,15978.8459059166,2.02072291015987,0.655345420279666
"21",1.1,"Saccostrea","1.1.5.4",NA,NA,NA,NA,559.17,535.72,NA,16.33,10.23,1.52,NA,NA,"Calcite",0,"",0,23.4499999999999,0.0419371568574851,NA,NA,NA,6.33240187471075,414.8542,NA,0.0565258830692806,253.924968,2.20210719884781,8.23849636370753,6.23586604176308,0.984755257979883,0.187714054279671,3,"S","Sacco","#FF00BF",8,685.66,3.42006242160836,15978.8459059166,2.59627136053918,1.31729774999255
"22",1.1,"Aragonite","1.1.1.4",NA,NA,NA,NA,1398.27,1384.42,NA,9.8,6.88,7.14,NA,NA,"Aragonite",NA,"",0,13.8499999999999,0.0099050970127371,NA,NA,NA,7.83738007696869,373.0384,NA,0.0371275450463006,481.40736,2.90454637004303,11.182279588457,1.20579335898957,0.15385158651843,-0.0263414735134395,3,"A","Arago","#FFBF00",2,685.66,2.01995157950003,15978.8459059166,2.33457661583601,0.865232507598249
"23",1.1,"Calcite","1.1.2.5",NA,NA,NA,NA,917.21,906.68,NA,11.18,8.56,3.76,NA,NA,"Calcite",0.01,"",0,10.5300000000001,0.0114804679408206,NA,NA,NA,7.11269966709571,339.8464,NA,0.0309845859776655,359.835008,2.5489737785602,9.71604670250181,2.95576677763477,0.41556187045385,0.0597662196384358,3,"C","Calci","#80FF00",3,685.66,1.53574657993759,15978.8459059166,2.126851976676,0.722074971262349
