shellID,exptID,taxon,source,pocket,dateM1,dateM2,mass1,mass2,density,shape,xDim,yDim,zDim,thick,calcX,calcY,calcSA1,calcSA2,calcZ,perimeter,polymorph,note,exclude
1.3.5.2,T1.3,Abranda,E17,4,8/28/2023 16:32,8/30/2023 16:32,23.62,16.49,2.642,2dome,11.89,7.46,1.37,0.11,11.849,7.489,69.949,69.026,,,Aragonite,,0
1.3.5.3,T1.3,Abranda,E17,5,8/28/2023 16:32,8/30/2023 16:32,22.82,19.27,2.683,2dome,11.48,7.19,1.31,0.13,11.469,7.11,62.928,64.747,,,Aragonite,,0
1.3.5.4,T1.3,Abranda,E17,7,8/28/2023 16:32,8/30/2023 16:32,17.67,14.57,2.366,2dome,10.01,5.88,1.47,0.11,10.04,5.975,51.879,49.403,,,Aragonite,,0
1.3.5.5,T1.3,Abranda,E17,8,8/28/2023 16:32,8/30/2023 16:32,20.29,15.59,2.411,2dome,11.03,6.19,1.19,0.13,10.907,6.447,53.585,54.564,,,Aragonite,,0
1.3.6.1,T1.3,Calcite,NA,10,8/28/2023 16:32,8/30/2023 16:32,858.1,849.22,2.703,cube,12.26,8.87,3.06,3.06,12.159,8.783,119.867,121.789,,,Calcite,,0
1.3.6.2,T1.3,Calcite,NA,6,8/28/2023 16:32,8/30/2023 16:32,334.69,330.65,2.707,cube,12.06,4.39,2.44,2.44,11.675,4.28,62.607,67.946,,,Calcite,,0
1.3.6.3,T1.3,Calcite,NA,1,8/28/2023 16:32,8/30/2023 16:32,638.05,630.3,2.693,cube,12.68,6.18,3.04,3.04,12.446,6.249,99.519,94.992,,,Calcite,,0
1.3.6.4,T1.3,Calcite,NA,2,8/28/2023 16:32,8/30/2023 16:32,579.56,571.56,2.705,cube,9.2,7.58,3.33,3.33,9.283,7.619,79.829,81.765,,,Calcite,,0
1.3.6.5,T1.3,Calcite,NA,6,8/28/2023 16:32,8/30/2023 16:32,515.06,510.28,2.646,cube,11.91,7.18,2.38,2.38,11.962,7.432,98.086,99.272,,,Calcite,,0
1.3.7.1,T1.3,Tridacna,NA,9,8/28/2023 16:32,8/30/2023 16:32,335.22,327.86,2.831,cube,6.05,5.86,3.66,3.66,5.995,5.924,37.542,37.942,,,Aragonite,,0
1.3.7.2,T1.3,Tridacna,NA,2,8/28/2023 16:32,8/30/2023 16:32,741.48,729.33,2.83,cube,8.33,5.94,5.6,5.6,8.266,5.911,54.147,59.643,,,Aragonite,,0
1.3.7.3,T1.3,Tridacna,NA,10,8/28/2023 16:32,8/30/2023 16:32,730.71,700.55,2.84,cube,8.04,6.28,5.4,5.4,7.787,6.008,56.758,52.783,,,Aragonite,,0
1.3.7.4,T1.3,Tridacna,NA,9,8/28/2023 16:32,8/30/2023 16:32,466.04,457.84,2.831,cube,6.85,6.16,4.42,4.42,6.678,6.069,43.677,42.484,,,Aragonite,,0
1.3.7.5,T1.3,Tridacna,NA,10,8/28/2023 16:32,8/30/2023 16:32,381.18,376.07,2.843,cube,6.44,4.71,4.83,4.83,6.543,5.174,37.374,33.35,,,Aragonite,,0
1.3.8.1,T1.3,Liloa,E18,8,8/28/2023 16:32,8/30/2023 16:32,36.54,29.28,2.796,cylinder,10.25,3.84,3.84,0.13,10.286,4,35.405,34.016,,,Aragonite,,0
1.3.8.2,T1.3,Liloa,E18,3,8/28/2023 16:32,8/30/2023 16:32,99.26,85.55,2.677,cylinder,12.13,5.48,5.48,0.21,12.194,5.857,57.326,53.276,,,Aragonite,,0
1.3.8.3,T1.3,Liloa,E18,6,8/28/2023 16:32,8/30/2023 16:32,13.85,10.49,2.388,cylinder,8.08,3.15,3.15,0.15,8.104,3.251,16.995,18.16,,,Aragonite,,0
1.3.8.4,T1.3,Liloa,E19,3,8/28/2023 16:32,8/30/2023 16:32,27.17,21.5,2.716,cylinder,9.02,4.16,4.16,0.14,9.005,4.171,37.838,31.944,,,Aragonite,,0
1.3.8.5,T1.3,Liloa,E19,7,8/28/2023 16:32,8/30/2023 16:32,72.12,64.73,2.589,cylinder,11.37,5.57,5.57,0.18,11.564,5.593,56.184,53.49,,,Aragonite,,0
1.3.9.1,T1.3,Ethalia,E19,5,8/28/2023 16:32,8/30/2023 16:32,58.55,53.45,1.505,sphere,7.03,6.02,5.38,0.25,7.048,6.002,34.511,34.552,,,Aragonite,,0
1.3.9.2,T1.3,Ethalia,E19,10,8/28/2023 16:32,8/30/2023 16:32,554.35,535.2,1.921,sphere,13.68,11.68,9.24,0.42,13.745,11.772,136.263,129.057,,,Aragonite,,0
1.3.9.3,T1.3,Ethalia,E19,7,8/28/2023 16:32,8/30/2023 16:32,233.64,226.17,1.595,sphere,10.27,8.95,6.6,0.35,10.356,8.737,75.896,74.957,,,Aragonite,,0
1.3.9.4,T1.3,Ethalia,E19,1,8/28/2023 16:32,8/30/2023 16:32,41.21,37.01,1.188,sphere,6.76,5.44,4.28,0.21,6.826,5.248,29.12,30.133,,,Aragonite,,0
1.3.9.5,T1.3,Ethalia,E20,9,8/28/2023 16:32,8/30/2023 16:32,574.1,557.22,1.435,sphere,13.63,11.56,9.3,0.47,13.65,11.931,136.953,133.873,,,Aragonite,,0
1.3.10.1,T1.3,Natica,E20,11,8/28/2023 16:32,8/30/2023 16:32,753.38,734.69,2.192,sphere,12.28,11.53,8.39,0.38,12.199,11.169,107.791,119.038,,,Aragonite,,0
1.3.10.2,T1.3,Natica,E20,9,8/28/2023 16:32,8/30/2023 16:32,125.71,120.97,2.66,sphere,6.96,5.82,4.81,0.36,6.708,5.485,30.995,32.81,,,Aragonite,,0
1.3.10.3,T1.3,Natica,E20,2,8/28/2023 16:32,8/30/2023 16:32,54.53,51.34,2.538,sphere,5.96,4.7,5.23,0.29,5.88,4.834,21.953,24.331,,,Aragonite,,0
1.3.10.4,T1.3,Natica,E20,6,8/28/2023 16:32,8/30/2023 16:32,180.98,174.59,1.746,sphere,9.75,7.32,9.92,0.28,9.386,7.68,61.09,64.455,,,Aragonite,,0
1.3.10.5,T1.3,Natica,E20,11,8/28/2023 16:32,8/30/2023 16:32,75.51,72.31,2.291,sphere,6.98,5.07,6.75,0.24,6.446,5.221,27.722,32.084,,,Aragonite,,0
1.3.11.1,T1.3,Scaphopod,E19,4,8/28/2023 16:32,8/30/2023 16:32,118.89,108.51,2.566,2cone,2.95,2.95,30.01,0.16,2.973,0.818,54.356,61.851,29.908,,Aragonite,,0
1.3.11.2,T1.3,Scaphopod,E21,1,8/28/2023 16:32,8/30/2023 16:32,72.27,60.05,3.025,2cone,2.81,2.81,19.17,0.18,2.91,1.828,47.639,47.909,19.043,,Aragonite,,0
1.3.11.3,T1.3,Scaphopod,E21,9,8/28/2023 16:32,8/30/2023 16:32,107.13,97.65,2.706,2cone,2.75,2.75,29.46,0.36,2.669,0.818,35.376,53.974,29.475,,Aragonite,,0
1.3.11.4,T1.3,Scaphopod,E21,5,8/28/2023 16:32,8/30/2023 16:32,72.28,65.32,2.791,2cone,2.69,2.69,21.94,0.28,2.553,1.031,43.48,43.311,22.31,,Aragonite,,0
1.3.11.5,T1.3,Scaphopod,E21,1,8/28/2023 16:32,8/30/2023 16:32,120.3,112.64,3.039,2cone,3.65,3.65,14.61,0.37,3.732,2.91,47.638,47.27,14.217,,Aragonite,,0
